"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""0.636"",""0.606"",""0.675"",""0.606"",""4.26%"""
"Jun 25, 2018,""0.610"",""0.625"",""0.659"",""0.595"",""-5.28%"""
"Jun 22, 2018,""0.644"",""0.624"",""0.783"",""0.616"",""4.89%"""
"Jun 21, 2018,""0.614"",""0.645"",""0.677"",""0.582"",""-3.31%"""
"Jun 20, 2018,""0.635"",""0.633"",""0.680"",""0.618"",""-3.64%"""
"Jun 19, 2018,""0.659"",""0.661"",""0.675"",""0.611"",""-0.45%"""
"Jun 18, 2018,""0.662"",""0.698"",""0.708"",""0.643"",""-0.90%"""
"Jun 17, 2018,""0.668"",""0.668"",""0.668"",""0.668"",""-0.30%"""
"Jun 16, 2018,""0.670"",""0.668"",""0.670"",""0.668"",""0.75%"""
"Jun 15, 2018,""0.665"",""0.634"",""0.749"",""0.601"",""-5.94%"""
"Jun 14, 2018,""0.707"",""0.810"",""0.837"",""0.697"",""-8.18%"""
"Jun 13, 2018,""0.770"",""0.838"",""0.841"",""0.762"",""-4.35%"""
"Jun 12, 2018,""0.805"",""0.847"",""0.871"",""0.796"",""-6.29%"""
"Jun 11, 2018,""0.859"",""0.825"",""0.863"",""0.776"",""9.57%"""
"Jun 08, 2018,""0.784"",""0.783"",""0.812"",""0.737"",""-3.69%"""
"Jun 07, 2018,""0.814"",""0.799"",""0.842"",""0.774"",""5.71%"""
"Jun 06, 2018,""0.770"",""0.660"",""0.787"",""0.658"",""9.37%"""
"Jun 05, 2018,""0.704"",""0.748"",""0.748"",""0.653"",""-4.61%"""
"Jun 04, 2018,""0.738"",""0.718"",""0.746"",""0.673"",""4.09%"""
"Jun 01, 2018,""0.709"",""0.733"",""0.772"",""0.664"",""7.10%"""
"May 31, 2018,""0.662"",""0.713"",""0.755"",""0.643"",""-2.07%"""
"May 30, 2018,""0.676"",""0.652"",""0.743"",""0.623"",""-3.15%"""
"May 29, 2018,""0.698"",""0.656"",""0.718"",""0.557"",""8.55%"""
"May 28, 2018,""0.643"",""0.743"",""0.767"",""0.642"",""-6.95%"""
"May 25, 2018,""0.691"",""0.772"",""0.776"",""0.674"",""-6.24%"""
