"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""0.747"",""0.741"",""0.783"",""0.728"",""0.95%"""
"Jun 25, 2018,""0.740"",""0.720"",""0.768"",""0.702"",""1.09%"""
"Jun 23, 2018,""0.732"",""0.732"",""0.732"",""0.732"",""-0.68%"""
"Jun 22, 2018,""0.737"",""0.731"",""0.753"",""0.721"",""1.10%"""
"Jun 21, 2018,""0.729"",""0.743"",""0.762"",""0.702"",""-1.75%"""
"Jun 20, 2018,""0.742"",""0.741"",""0.773"",""0.724"",""0.41%"""
"Jun 19, 2018,""0.739"",""0.712"",""0.762"",""0.701"",""-4.40%"""
"Jun 18, 2018,""0.773"",""0.757"",""0.781"",""0.728"",""3.62%"""
"Jun 17, 2018,""0.746"",""0.746"",""0.746"",""0.746"",""0.00%"""
"Jun 16, 2018,""0.746"",""0.746"",""0.746"",""0.746"",""-0.53%"""
"Jun 15, 2018,""0.750"",""0.756"",""0.788"",""0.728"",""-4.34%"""
"Jun 14, 2018,""0.784"",""0.859"",""0.898"",""0.776"",""-7.44%"""
"Jun 13, 2018,""0.847"",""0.866"",""0.896"",""0.833"",""-4.72%"""
"Jun 12, 2018,""0.889"",""0.917"",""0.930"",""0.882"",""-3.26%"""
"Jun 11, 2018,""0.919"",""0.896"",""0.930"",""0.887"",""0.44%"""
"Jun 09, 2018,""0.915"",""0.915"",""0.915"",""0.915"",""1.67%"""
"Jun 08, 2018,""0.900"",""0.864"",""0.932"",""0.839"",""0.67%"""
"Jun 07, 2018,""0.894"",""0.914"",""0.924"",""0.873"",""3.83%"""
"Jun 06, 2018,""0.861"",""0.790"",""0.877"",""0.783"",""14.19%"""
"Jun 05, 2018,""0.754"",""0.779"",""0.821"",""0.752"",""-5.28%"""
"Jun 04, 2018,""0.796"",""0.800"",""0.828"",""0.760"",""7.13%"""
"Jun 02, 2018,""0.743"",""0.743"",""0.743"",""0.743"",""-3.63%"""
"Jun 01, 2018,""0.771"",""0.776"",""0.815"",""0.750"",""3.35%"""
"May 31, 2018,""0.746"",""0.779"",""0.803"",""0.729"",""-6.63%"""
"May 30, 2018,""0.799"",""0.744"",""0.810"",""0.734"",""12.54%"""
"May 29, 2018,""0.710"",""0.766"",""0.803"",""0.706"",""-6.58%"""
"May 28, 2018,""0.760"",""0.790"",""0.805"",""0.724"",""-1.04%"""
"May 25, 2018,""0.768"",""0.814"",""0.823"",""0.754"",""-6.00%"""
"May 24, 2018,""0.817"",""0.862"",""0.898"",""0.803"",""-5.33%"""
"May 23, 2018,""0.863"",""0.858"",""0.883"",""0.831"",""-2.49%"""
"May 22, 2018,""0.885"",""0.851"",""0.893"",""0.829"",""3.15%"""
"May 21, 2018,""0.858"",""0.874"",""0.880"",""0.853"",""-0.58%"""
"May 20, 2018,""0.863"",""0.863"",""0.863"",""0.863"",""-0.80%"""
"May 18, 2018,""0.870"",""0.902"",""0.925"",""0.861"",""-3.87%"""
