"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""1.120"",""1.120"",""1.120"",""1.120"",""0.00%"""
"Jun 25, 2018,""1.120"",""1.120"",""1.120"",""1.120"",""0.00%"""
"Jun 24, 2018,""1.120"",""1.120"",""1.120"",""1.120"",""0.00%"""
"Jun 23, 2018,""1.120"",""1.120"",""1.120"",""1.120"",""0.09%"""
"Jun 22, 2018,""1.119"",""1.119"",""1.119"",""1.119"",""0.00%"""
"Jun 21, 2018,""1.119"",""1.119"",""1.119"",""1.119"",""-0.09%"""
"Jun 20, 2018,""1.120"",""1.120"",""1.120"",""1.120"",""0.00%"""
"Jun 19, 2018,""1.120"",""1.120"",""1.120"",""1.120"",""0.00%"""
"Jun 18, 2018,""1.120"",""1.120"",""1.120"",""1.120"",""-6.67%"""
"Jun 17, 2018,""1.200"",""1.200"",""1.200"",""1.200"",""0.00%"""
"Jun 16, 2018,""1.200"",""1.200"",""1.200"",""1.200"",""0.08%"""
"Jun 15, 2018,""1.199"",""1.199"",""1.199"",""1.199"",""0.00%"""
"Jun 14, 2018,""1.199"",""1.199"",""1.199"",""1.199"",""-0.08%"""
"Jun 13, 2018,""1.200"",""1.200"",""1.200"",""1.200"",""0.00%"""
"Jun 12, 2018,""1.200"",""1.200"",""1.200"",""1.200"",""0.00%"""
"Jun 11, 2018,""1.200"",""1.200"",""1.200"",""1.200"",""0.08%"""
"Jun 08, 2018,""1.199"",""1.199"",""1.199"",""1.199"",""0.00%"""
"Jun 07, 2018,""1.199"",""1.199"",""1.199"",""1.199"",""-4.08%"""
"Jun 06, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Jun 05, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Jun 04, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Jun 03, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Jun 02, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.08%"""
"Jun 01, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""-0.08%"""
"May 31, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 30, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 29, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 28, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 26, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.08%"""
"May 25, 2018,""1.249"",""1.249"",""1.250"",""1.249"",""-0.08%"""
"May 24, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.08%"""
"May 23, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""-0.08%"""
"May 22, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 21, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 20, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 19, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.08%"""
"May 18, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""-0.08%"""
"May 17, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 16, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 15, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 14, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 13, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 12, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 11, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 10, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 09, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 08, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.08%"""
"May 04, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""0.00%"""
"May 03, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""-0.08%"""
"May 02, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"May 01, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Apr 30, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Apr 29, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Apr 28, 2018,""1.250"",""1.249"",""1.250"",""1.249"",""0.08%"""
"Apr 27, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""1.54%"""
"Apr 26, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.00%"""
"Apr 25, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.00%"""
"Apr 24, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.00%"""
"Apr 23, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.00%"""
"Apr 22, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.00%"""
"Apr 21, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.08%"""
"Apr 20, 2018,""1.229"",""1.229"",""1.229"",""1.229"",""-0.08%"""
"Apr 19, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.00%"""
"Apr 18, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.00%"""
"Apr 17, 2018,""1.230"",""1.230"",""1.230"",""1.230"",""0.00%"""
"Apr 16, 2018,""1.230"",""1.190"",""1.230"",""1.190"",""3.45%"""
"Apr 13, 2018,""1.189"",""1.189"",""1.189"",""1.189"",""0.00%"""
"Apr 12, 2018,""1.189"",""1.250"",""1.250"",""1.189"",""-4.88%"""
"Apr 11, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Apr 10, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Apr 09, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Apr 08, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Apr 07, 2018,""1.250"",""1.250"",""1.250"",""1.250"",""0.00%"""
"Apr 06, 2018,""1.250"",""1.249"",""1.250"",""1.249"",""0.08%"""
"Apr 05, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""0.00%"""
"Apr 04, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""-0.08%"""
"Apr 03, 2018,""1.250"",""1.250"",""1.251"",""1.250"",""-1.57%"""
"Apr 02, 2018,""1.270"",""1.300"",""1.300"",""1.270"",""-2.31%"""
"Apr 01, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 31, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""4.00%"""
"Mar 30, 2018,""1.250"",""1.299"",""1.299"",""1.250"",""-3.77%"""
"Mar 29, 2018,""1.299"",""1.299"",""1.299"",""1.299"",""0.00%"""
"Mar 28, 2018,""1.299"",""1.299"",""1.299"",""1.299"",""-0.08%"""
"Mar 27, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 26, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 24, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.08%"""
"Mar 23, 2018,""1.299"",""1.299"",""1.299"",""1.299"",""-0.08%"""
"Mar 22, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 21, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 20, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 19, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 18, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 17, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 16, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.08%"""
"Mar 15, 2018,""1.299"",""1.299"",""1.299"",""1.299"",""-0.08%"""
"Mar 14, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 13, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 12, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 11, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 10, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 09, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.08%"""
"Mar 08, 2018,""1.299"",""1.299"",""1.299"",""1.299"",""-0.08%"""
"Mar 07, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 06, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 02, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Mar 01, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 28, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 27, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 26, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 25, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 24, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 23, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 22, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 21, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 20, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 19, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 18, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 17, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 16, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 15, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 14, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 13, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""0.00%"""
"Feb 12, 2018,""1.300"",""1.300"",""1.300"",""1.300"",""4.00%"""
