"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""2.180"",""2.266"",""2.295"",""2.180"",""-3.80%"""
"Jun 25, 2018,""2.266"",""2.266"",""2.266"",""2.266"",""0.00%"""
"Jun 22, 2018,""2.266"",""2.266"",""2.266"",""2.266"",""3.94%"""
"Jun 21, 2018,""2.180"",""2.180"",""2.180"",""2.180"",""0.00%"""
"Jun 20, 2018,""2.180"",""2.295"",""2.295"",""2.180"",""-0.05%"""
"Jun 19, 2018,""2.181"",""2.181"",""2.266"",""2.181"",""0.00%"""
"Jun 18, 2018,""2.181"",""2.296"",""2.296"",""2.181"",""0.00%"""
"Jun 15, 2018,""2.181"",""2.181"",""2.296"",""2.181"",""0.00%"""
"Jun 14, 2018,""2.181"",""2.181"",""2.181"",""2.181"",""-0.05%"""
"Jun 13, 2018,""2.182"",""2.182"",""2.182"",""2.182"",""0.00%"""
"Jun 12, 2018,""2.182"",""2.182"",""2.182"",""2.182"",""0.00%"""
"Jun 11, 2018,""2.182"",""2.297"",""2.297"",""2.182"",""0.00%"""
"Jun 08, 2018,""2.182"",""2.182"",""2.297"",""2.182"",""0.00%"""
"Jun 07, 2018,""2.182"",""2.182"",""2.182"",""2.182"",""-0.05%"""
"Jun 06, 2018,""2.183"",""2.183"",""2.183"",""2.183"",""0.00%"""
"Jun 05, 2018,""2.183"",""2.183"",""2.183"",""2.183"",""0.00%"""
"Jun 04, 2018,""2.183"",""2.183"",""2.183"",""2.183"",""-2.46%"""
"Jun 01, 2018,""2.238"",""2.238"",""2.238"",""2.238"",""0.04%"""
"May 31, 2018,""2.237"",""2.237"",""2.237"",""2.237"",""-2.65%"""
"May 30, 2018,""2.298"",""2.298"",""2.298"",""2.298"",""2.73%"""
"May 29, 2018,""2.237"",""2.232"",""2.237"",""2.232"",""0.22%"""
"May 28, 2018,""2.232"",""2.232"",""2.232"",""2.232"",""0.00%"""
"May 25, 2018,""2.232"",""2.232"",""2.232"",""2.232"",""2.15%"""
"May 24, 2018,""2.185"",""2.185"",""2.185"",""2.185"",""0.00%"""
"May 23, 2018,""2.185"",""2.185"",""2.185"",""2.185"",""0.00%"""
"May 22, 2018,""2.185"",""2.185"",""2.185"",""2.185"",""-0.05%"""
"May 21, 2018,""2.186"",""2.186"",""2.232"",""2.186"",""-2.06%"""
"May 20, 2018,""2.232"",""2.232"",""2.232"",""2.232"",""2.10%"""
"May 19, 2018,""2.186"",""2.186"",""2.186"",""2.186"",""0.00%"""
"May 18, 2018,""2.186"",""2.186"",""2.186"",""2.186"",""0.00%"""
"May 17, 2018,""2.186"",""2.186"",""2.186"",""2.186"",""-0.05%"""
"May 16, 2018,""2.187"",""2.187"",""2.187"",""2.187"",""0.00%"""
"May 15, 2018,""2.187"",""2.187"",""2.187"",""2.187"",""0.00%"""
"May 14, 2018,""2.187"",""2.301"",""2.301"",""2.187"",""0.00%"""
"May 11, 2018,""2.187"",""2.231"",""2.231"",""2.187"",""-2.02%"""
"May 10, 2018,""2.232"",""2.232"",""2.232"",""2.232"",""0.00%"""
"May 09, 2018,""2.232"",""2.232"",""2.232"",""2.232"",""0.00%"""
"May 08, 2018,""2.232"",""2.232"",""2.301"",""2.232"",""0.00%"""
"May 07, 2018,""2.232"",""2.302"",""2.302"",""2.232"",""-0.04%"""
"May 04, 2018,""2.233"",""2.233"",""2.233"",""2.233"",""0.00%"""
"May 03, 2018,""2.233"",""2.233"",""2.302"",""2.233"",""0.00%"""
"May 02, 2018,""2.233"",""2.302"",""2.302"",""2.233"",""0.00%"""
"May 01, 2018,""2.233"",""2.232"",""2.233"",""2.232"",""0.00%"""
"Apr 30, 2018,""2.233"",""2.233"",""2.233"",""2.233"",""-0.04%"""
"Apr 27, 2018,""2.234"",""2.234"",""2.234"",""2.234"",""0.00%"""
"Apr 26, 2018,""2.234"",""2.303"",""2.303"",""2.234"",""0.00%"""
"Apr 25, 2018,""2.234"",""2.234"",""2.234"",""2.234"",""0.00%"""
"Apr 24, 2018,""2.234"",""2.234"",""2.234"",""2.234"",""-0.04%"""
"Apr 23, 2018,""2.235"",""2.303"",""2.303"",""2.235"",""0.00%"""
"Apr 20, 2018,""2.235"",""2.235"",""2.235"",""2.235"",""0.00%"""
"Apr 19, 2018,""2.235"",""2.215"",""2.235"",""2.215"",""0.00%"""
"Apr 18, 2018,""2.235"",""2.235"",""2.235"",""2.235"",""-0.04%"""
"Apr 17, 2018,""2.236"",""2.236"",""2.236"",""2.236"",""0.00%"""
"Apr 16, 2018,""2.236"",""2.305"",""2.305"",""2.236"",""0.45%"""
"Apr 13, 2018,""2.226"",""2.226"",""2.226"",""2.226"",""0.00%"""
"Apr 12, 2018,""2.226"",""2.226"",""2.226"",""2.226"",""-0.49%"""
"Apr 11, 2018,""2.237"",""2.237"",""2.237"",""2.237"",""0.00%"""
"Apr 10, 2018,""2.237"",""2.237"",""2.237"",""2.237"",""0.00%"""
"Apr 09, 2018,""2.237"",""2.306"",""2.306"",""2.237"",""0.00%"""
"Apr 06, 2018,""2.237"",""2.237"",""2.237"",""2.237"",""0.00%"""
"Apr 05, 2018,""2.237"",""2.237"",""2.306"",""2.237"",""-0.04%"""
"Apr 04, 2018,""2.238"",""2.238"",""2.238"",""2.226"",""0.00%"""
"Apr 03, 2018,""2.238"",""2.238"",""2.306"",""2.238"",""-2.95%"""
"Mar 30, 2018,""2.306"",""2.238"",""2.306"",""2.238"",""3.04%"""
"Mar 29, 2018,""2.238"",""2.260"",""2.260"",""2.238"",""0.04%"""
"Mar 28, 2018,""2.237"",""2.237"",""2.237"",""2.237"",""0.00%"""
"Mar 27, 2018,""2.237"",""2.237"",""2.237"",""2.237"",""-3.03%"""
"Mar 26, 2018,""2.307"",""2.237"",""2.307"",""2.237"",""2.03%"""
"Mar 23, 2018,""2.261"",""2.261"",""2.308"",""2.261"",""0.00%"""
"Mar 22, 2018,""2.261"",""2.261"",""2.261"",""2.261"",""-0.04%"""
"Mar 21, 2018,""2.262"",""2.262"",""2.262"",""2.262"",""0.00%"""
"Mar 20, 2018,""2.262"",""2.308"",""2.308"",""2.262"",""0.00%"""
"Mar 19, 2018,""2.262"",""2.308"",""2.308"",""2.262"",""0.00%"""
