"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""2.196"",""2.201"",""2.214"",""2.193"",""-0.27%"""
"Jun 25, 2018,""2.202"",""2.214"",""2.216"",""2.193"",""-0.45%"""
"Jun 22, 2018,""2.212"",""2.197"",""2.216"",""2.197"",""0.73%"""
"Jun 21, 2018,""2.196"",""2.192"",""2.201"",""2.187"",""0.37%"""
"Jun 20, 2018,""2.188"",""2.128"",""2.192"",""2.128"",""1.11%"""
"Jun 19, 2018,""2.164"",""2.149"",""2.171"",""2.145"",""0.98%"""
"Jun 18, 2018,""2.143"",""2.120"",""2.160"",""2.102"",""1.66%"""
"Jun 15, 2018,""2.108"",""2.146"",""2.146"",""2.099"",""-0.89%"""
"Jun 14, 2018,""2.127"",""2.159"",""2.170"",""2.104"",""-0.05%"""
"Jun 13, 2018,""2.128"",""2.136"",""2.152"",""2.119"",""0.42%"""
"Jun 12, 2018,""2.119"",""2.139"",""2.155"",""2.113"",""-0.14%"""
"Jun 11, 2018,""2.122"",""2.049"",""2.139"",""2.048"",""3.51%"""
"Jun 08, 2018,""2.050"",""2.050"",""2.081"",""2.050"",""-0.34%"""
"Jun 07, 2018,""2.057"",""2.044"",""2.061"",""2.042"",""1.38%"""
"Jun 06, 2018,""2.029"",""2.013"",""2.034"",""2.000"",""2.58%"""
"Jun 05, 2018,""1.978"",""1.957"",""1.998"",""1.954"",""1.85%"""
"Jun 04, 2018,""1.942"",""1.949"",""1.972"",""1.942"",""-0.10%"""
"Jun 01, 2018,""1.944"",""1.945"",""1.972"",""1.919"",""0.15%"""
"May 31, 2018,""1.941"",""1.959"",""1.977"",""1.941"",""-0.46%"""
"May 30, 2018,""1.950"",""1.947"",""1.988"",""1.942"",""-0.36%"""
"May 29, 2018,""1.957"",""1.973"",""1.982"",""1.943"",""-0.46%"""
"May 28, 2018,""1.966"",""1.979"",""1.989"",""1.965"",""-0.05%"""
"May 25, 2018,""1.967"",""1.972"",""1.998"",""1.965"",""-0.20%"""
"May 24, 2018,""1.971"",""1.969"",""1.989"",""1.969"",""-0.30%"""
"May 23, 2018,""1.977"",""1.973"",""2.009"",""1.968"",""0.36%"""
"May 22, 2018,""1.970"",""1.967"",""1.989"",""1.957"",""1.08%"""
"May 21, 2018,""1.949"",""1.890"",""1.960"",""1.878"",""3.89%"""
"May 20, 2018,""1.876"",""1.875"",""1.876"",""1.875"",""0.16%"""
"May 18, 2018,""1.873"",""1.870"",""1.901"",""1.869"",""-0.11%"""
"May 17, 2018,""1.875"",""1.862"",""1.899"",""1.852"",""0.97%"""
"May 16, 2018,""1.857"",""1.877"",""1.900"",""1.845"",""-1.69%"""
"May 15, 2018,""1.889"",""1.869"",""1.894"",""1.867"",""1.56%"""
"May 14, 2018,""1.860"",""1.859"",""1.874"",""1.847"",""0.70%"""
"May 11, 2018,""1.847"",""1.840"",""1.870"",""1.833"",""-0.27%"""
"May 10, 2018,""1.852"",""1.836"",""1.869"",""1.828"",""0.49%"""
"May 09, 2018,""1.843"",""1.767"",""1.866"",""1.758"",""4.66%"""
"May 08, 2018,""1.761"",""1.759"",""1.761"",""1.729"",""1.85%"""
"May 07, 2018,""1.729"",""1.729"",""1.759"",""1.727"",""-0.80%"""
"May 04, 2018,""1.743"",""1.719"",""1.748"",""1.711"",""1.46%"""
"May 03, 2018,""1.718"",""1.740"",""1.751"",""1.718"",""-1.66%"""
"May 02, 2018,""1.747"",""1.745"",""1.751"",""1.727"",""0.17%"""
"May 01, 2018,""1.744"",""1.735"",""1.744"",""1.735"",""0.81%"""
"Apr 30, 2018,""1.730"",""1.746"",""1.752"",""1.728"",""-0.23%"""
"Apr 27, 2018,""1.734"",""1.757"",""1.777"",""1.734"",""-2.14%"""
"Apr 26, 2018,""1.772"",""1.779"",""1.790"",""1.748"",""0.06%"""
"Apr 25, 2018,""1.771"",""1.752"",""1.825"",""1.751"",""1.14%"""
"Apr 24, 2018,""1.751"",""1.768"",""1.784"",""1.735"",""0.52%"""
"Apr 23, 2018,""1.742"",""1.745"",""1.773"",""1.737"",""-0.17%"""
"Apr 20, 2018,""1.745"",""1.727"",""1.750"",""1.727"",""1.10%"""
"Apr 19, 2018,""1.726"",""1.708"",""1.753"",""1.701"",""0.06%"""
"Apr 18, 2018,""1.725"",""1.735"",""1.764"",""1.691"",""-1.03%"""
"Apr 17, 2018,""1.743"",""1.797"",""1.819"",""1.741"",""-4.02%"""
"Apr 16, 2018,""1.816"",""1.798"",""1.819"",""1.786"",""2.08%"""
"Apr 13, 2018,""1.779"",""1.775"",""1.812"",""1.772"",""0.68%"""
"Apr 12, 2018,""1.767"",""1.775"",""1.793"",""1.759"",""-0.45%"""
"Apr 11, 2018,""1.775"",""1.788"",""1.817"",""1.775"",""-0.28%"""
"Apr 10, 2018,""1.780"",""1.798"",""1.800"",""1.779"",""-0.28%"""
"Apr 09, 2018,""1.785"",""1.833"",""1.858"",""1.784"",""-2.62%"""
"Apr 06, 2018,""1.833"",""1.848"",""1.867"",""1.830"",""-0.60%"""
"Apr 05, 2018,""1.844"",""1.844"",""1.879"",""1.832"",""0.66%"""
"Apr 04, 2018,""1.832"",""1.857"",""1.867"",""1.813"",""-1.35%"""
"Apr 03, 2018,""1.857"",""1.849"",""1.865"",""1.832"",""-0.80%"""
"Mar 30, 2018,""1.872"",""1.872"",""1.872"",""1.872"",""-0.74%"""
"Mar 29, 2018,""1.886"",""1.906"",""1.911"",""1.849"",""-1.00%"""
"Mar 28, 2018,""1.905"",""1.918"",""1.926"",""1.895"",""0.21%"""
"Mar 27, 2018,""1.901"",""1.913"",""1.936"",""1.900"",""-0.58%"""
"Mar 26, 2018,""1.912"",""1.941"",""1.947"",""1.908"",""-0.62%"""
"Mar 23, 2018,""1.924"",""1.930"",""1.959"",""1.918"",""0.37%"""
"Mar 22, 2018,""1.917"",""1.979"",""1.980"",""1.917"",""-2.24%"""
"Mar 21, 2018,""1.961"",""1.968"",""1.995"",""1.947"",""0.41%"""
"Mar 20, 2018,""1.953"",""1.962"",""1.975"",""1.928"",""-0.56%"""
"Mar 19, 2018,""1.964"",""1.928"",""1.973"",""1.908"",""1.97%"""
"Mar 16, 2018,""1.926"",""1.932"",""1.938"",""1.909"",""0.52%"""
"Mar 15, 2018,""1.916"",""1.931"",""1.938"",""1.897"",""-0.10%"""
"Mar 14, 2018,""1.918"",""1.935"",""1.938"",""1.915"",""0.26%"""
"Mar 13, 2018,""1.913"",""1.951"",""1.964"",""1.913"",""-0.93%"""
"Mar 12, 2018,""1.931"",""1.955"",""1.976"",""1.931"",""-0.21%"""
"Mar 09, 2018,""1.935"",""1.966"",""1.966"",""1.922"",""-0.26%"""
"Mar 08, 2018,""1.940"",""1.950"",""1.976"",""1.934"",""-0.21%"""
"Mar 07, 2018,""1.944"",""1.954"",""1.976"",""1.933"",""-0.61%"""
"Mar 06, 2018,""1.956"",""1.933"",""1.976"",""1.921"",""3.06%"""
"Mar 05, 2018,""1.898"",""1.912"",""1.923"",""1.898"",""0.05%"""
"Mar 02, 2018,""1.897"",""1.925"",""1.925"",""1.894"",""-0.11%"""
"Mar 01, 2018,""1.899"",""1.921"",""1.939"",""1.899"",""-1.20%"""
"Feb 28, 2018,""1.922"",""1.929"",""1.959"",""1.914"",""0.05%"""
"Feb 27, 2018,""1.921"",""1.921"",""1.953"",""1.897"",""0.47%"""
"Feb 26, 2018,""1.912"",""1.871"",""1.936"",""1.850"",""4.03%"""
"Feb 23, 2018,""1.838"",""1.798"",""1.838"",""1.736"",""0.38%"""
"Feb 22, 2018,""1.831"",""1.805"",""1.891"",""1.805"",""-0.27%"""
"Feb 21, 2018,""1.836"",""1.869"",""1.893"",""1.810"",""-1.77%"""
"Feb 20, 2018,""1.869"",""1.836"",""1.875"",""1.817"",""1.85%"""
"Feb 19, 2018,""1.835"",""1.842"",""1.862"",""1.835"",""0.00%"""
"Feb 18, 2018,""1.835"",""1.835"",""1.835"",""1.835"",""0.00%"""
"Feb 16, 2018,""1.835"",""1.841"",""1.841"",""1.766"",""0.05%"""
"Feb 15, 2018,""1.834"",""1.742"",""1.847"",""1.742"",""0.05%"""
"Feb 14, 2018,""1.833"",""1.816"",""1.833"",""1.741"",""0.05%"""
"Feb 13, 2018,""1.832"",""1.818"",""1.835"",""1.737"",""0.00%"""
"Feb 12, 2018,""1.832"",""1.819"",""1.845"",""1.812"",""0.05%"""
"Feb 09, 2018,""1.831"",""1.877"",""1.877"",""1.730"",""-2.09%"""
"Feb 08, 2018,""1.870"",""1.870"",""1.880"",""1.864"",""0.05%"""
