"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""0.351"",""0.366"",""0.394"",""0.351"",""-3.04%"""
"Jun 25, 2018,""0.362"",""0.358"",""0.378"",""0.332"",""-0.55%"""
"Jun 22, 2018,""0.364"",""0.369"",""0.389"",""0.352"",""1.68%"""
"Jun 21, 2018,""0.358"",""0.419"",""0.419"",""0.341"",""-12.90%"""
"Jun 20, 2018,""0.411"",""0.406"",""0.418"",""0.384"",""4.05%"""
"Jun 19, 2018,""0.395"",""0.399"",""0.408"",""0.370"",""-6.84%"""
"Jun 18, 2018,""0.424"",""0.426"",""0.439"",""0.404"",""-2.30%"""
"Jun 15, 2018,""0.434"",""0.440"",""0.447"",""0.394"",""-4.41%"""
"Jun 14, 2018,""0.454"",""0.507"",""0.546"",""0.444"",""-10.45%"""
"Jun 13, 2018,""0.507"",""0.492"",""0.530"",""0.486"",""0.60%"""
"Jun 12, 2018,""0.504"",""0.521"",""0.539"",""0.503"",""0.80%"""
"Jun 11, 2018,""0.500"",""0.491"",""0.520"",""0.464"",""11.11%"""
"Jun 08, 2018,""0.450"",""0.461"",""0.471"",""0.400"",""-10.89%"""
"Jun 07, 2018,""0.505"",""0.498"",""0.531"",""0.487"",""7.45%"""
"Jun 06, 2018,""0.470"",""0.422"",""0.485"",""0.400"",""11.37%"""
"Jun 05, 2018,""0.422"",""0.437"",""0.439"",""0.422"",""-3.43%"""
"Jun 04, 2018,""0.437"",""0.419"",""0.444"",""0.394"",""11.76%"""
"Jun 01, 2018,""0.391"",""0.390"",""0.428"",""0.368"",""14.33%"""
"May 31, 2018,""0.342"",""0.394"",""0.432"",""0.328"",""-2.84%"""
"May 30, 2018,""0.352"",""0.338"",""0.388"",""0.314"",""10.00%"""
"May 29, 2018,""0.320"",""0.359"",""0.389"",""0.230"",""-17.10%"""
"May 28, 2018,""0.386"",""0.491"",""0.505"",""0.381"",""-14.22%"""
"May 25, 2018,""0.450"",""0.504"",""0.521"",""0.423"",""-10.54%"""
"May 24, 2018,""0.503"",""0.549"",""0.574"",""0.496"",""-5.63%"""
"May 23, 2018,""0.533"",""0.579"",""0.579"",""0.522"",""-10.87%"""
"May 22, 2018,""0.598"",""0.552"",""0.603"",""0.552"",""3.10%"""
"May 21, 2018,""0.580"",""0.603"",""0.604"",""0.580"",""-3.17%"""
"May 20, 2018,""0.599"",""0.599"",""0.599"",""0.599"",""0.00%"""
"May 18, 2018,""0.599"",""0.647"",""0.662"",""0.599"",""-8.83%"""
"May 17, 2018,""0.657"",""0.671"",""0.672"",""0.614"",""3.96%"""
"May 16, 2018,""0.632"",""0.648"",""0.665"",""0.604"",""-4.96%"""
"May 15, 2018,""0.665"",""0.643"",""0.674"",""0.633"",""4.56%"""
"May 14, 2018,""0.636"",""0.574"",""0.643"",""0.574"",""10.23%"""
"May 11, 2018,""0.577"",""0.576"",""0.590"",""0.562"",""0.17%"""
"May 10, 2018,""0.576"",""0.580"",""0.590"",""0.558"",""-1.87%"""
"May 09, 2018,""0.587"",""0.590"",""0.612"",""0.574"",""0.34%"""
"May 08, 2018,""0.585"",""0.562"",""0.590"",""0.550"",""6.36%"""
