"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""0.566"",""0.569"",""0.595"",""0.566"",""0.00%"""
"Jun 25, 2018,""0.566"",""0.543"",""0.586"",""0.534"",""0.00%"""
"Jun 22, 2018,""0.566"",""0.554"",""0.578"",""0.553"",""1.80%"""
"Jun 21, 2018,""0.556"",""0.595"",""0.597"",""0.541"",""-5.28%"""
"Jun 20, 2018,""0.587"",""0.586"",""0.597"",""0.574"",""0.00%"""
"Jun 19, 2018,""0.587"",""0.570"",""0.590"",""0.563"",""-3.14%"""
"Jun 18, 2018,""0.606"",""0.612"",""0.618"",""0.591"",""-1.14%"""
"Jun 15, 2018,""0.613"",""0.607"",""0.622"",""0.587"",""-3.16%"""
"Jun 14, 2018,""0.633"",""0.708"",""0.729"",""0.632"",""-9.31%"""
"Jun 13, 2018,""0.698"",""0.721"",""0.722"",""0.688"",""-3.86%"""
"Jun 12, 2018,""0.726"",""0.744"",""0.757"",""0.722"",""-1.22%"""
"Jun 11, 2018,""0.735"",""0.729"",""0.751"",""0.704"",""4.26%"""
"Jun 08, 2018,""0.705"",""0.677"",""0.716"",""0.656"",""-2.89%"""
"Jun 07, 2018,""0.726"",""0.741"",""0.746"",""0.712"",""3.71%"""
"Jun 06, 2018,""0.700"",""0.630"",""0.704"",""0.630"",""17.06%"""
"Jun 05, 2018,""0.598"",""0.616"",""0.631"",""0.588"",""-5.97%"""
"Jun 04, 2018,""0.636"",""0.617"",""0.640"",""0.603"",""5.12%"""
"Jun 01, 2018,""0.605"",""0.642"",""0.642"",""0.589"",""-0.82%"""
"May 31, 2018,""0.610"",""0.621"",""0.656"",""0.572"",""1.33%"""
"May 30, 2018,""0.602"",""0.575"",""0.625"",""0.565"",""11.69%"""
"May 29, 2018,""0.539"",""0.544"",""0.603"",""0.480"",""-6.42%"""
"May 28, 2018,""0.576"",""0.675"",""0.675"",""0.572"",""-8.86%"""
"May 25, 2018,""0.632"",""0.670"",""0.674"",""0.609"",""-7.20%"""
"May 24, 2018,""0.681"",""0.721"",""0.741"",""0.674"",""-4.35%"""
"May 23, 2018,""0.712"",""0.713"",""0.722"",""0.683"",""-3.78%"""
"May 22, 2018,""0.740"",""0.717"",""0.748"",""0.711"",""3.35%"""
"May 21, 2018,""0.716"",""0.729"",""0.732"",""0.708"",""-1.38%"""
"May 20, 2018,""0.726"",""0.726"",""0.726"",""0.726"",""-1.36%"""
"May 18, 2018,""0.736"",""0.785"",""0.790"",""0.731"",""-7.19%"""
"May 17, 2018,""0.793"",""0.791"",""0.795"",""0.752"",""3.93%"""
"May 16, 2018,""0.763"",""0.767"",""0.779"",""0.741"",""-2.80%"""
"May 15, 2018,""0.785"",""0.767"",""0.789"",""0.757"",""4.25%"""
"May 14, 2018,""0.753"",""0.705"",""0.758"",""0.705"",""6.96%"""
"May 11, 2018,""0.704"",""0.696"",""0.715"",""0.690"",""-0.28%"""
"May 10, 2018,""0.706"",""0.711"",""0.716"",""0.682"",""-0.42%"""
"May 09, 2018,""0.709"",""0.719"",""0.735"",""0.708"",""-0.28%"""
"May 08, 2018,""0.711"",""0.688"",""0.716"",""0.683"",""5.02%"""
"May 07, 2018,""0.677"",""0.686"",""0.693"",""0.671"",""-2.73%"""
"May 04, 2018,""0.696"",""0.680"",""0.698"",""0.673"",""3.11%"""
"May 03, 2018,""0.675"",""0.734"",""0.737"",""0.673"",""-6.90%"""
"May 02, 2018,""0.725"",""0.728"",""0.734"",""0.717"",""2.40%"""
"Apr 30, 2018,""0.708"",""0.731"",""0.741"",""0.707"",""-1.53%"""
"Apr 27, 2018,""0.719"",""0.722"",""0.735"",""0.713"",""-2.71%"""
"Apr 26, 2018,""0.739"",""0.770"",""0.770"",""0.732"",""-4.52%"""
"Apr 25, 2018,""0.774"",""0.785"",""0.794"",""0.774"",""0.39%"""
"Apr 24, 2018,""0.771"",""0.752"",""0.795"",""0.745"",""0.39%"""
"Apr 23, 2018,""0.768"",""0.763"",""0.773"",""0.754"",""4.92%"""
"Apr 20, 2018,""0.732"",""0.726"",""0.748"",""0.726"",""-0.27%"""
"Apr 19, 2018,""0.734"",""0.686"",""0.735"",""0.684"",""9.88%"""
"Apr 18, 2018,""0.668"",""0.656"",""0.670"",""0.636"",""1.67%"""
"Apr 17, 2018,""0.657"",""0.676"",""0.687"",""0.653"",""-2.52%"""
"Apr 16, 2018,""0.674"",""0.674"",""0.697"",""0.669"",""2.12%"""
"Apr 13, 2018,""0.660"",""0.665"",""0.687"",""0.658"",""-0.60%"""
"Apr 12, 2018,""0.664"",""0.647"",""0.668"",""0.646"",""2.47%"""
"Apr 11, 2018,""0.648"",""0.656"",""0.666"",""0.635"",""-1.82%"""
"Apr 10, 2018,""0.660"",""0.643"",""0.676"",""0.630"",""2.48%"""
"Apr 09, 2018,""0.644"",""0.640"",""0.649"",""0.632"",""1.74%"""
"Apr 06, 2018,""0.633"",""0.649"",""0.655"",""0.628"",""-3.80%"""
"Apr 05, 2018,""0.658"",""0.654"",""0.662"",""0.647"",""4.44%"""
"Apr 04, 2018,""0.630"",""0.636"",""0.636"",""0.614"",""-0.79%"""
"Apr 03, 2018,""0.635"",""0.643"",""0.643"",""0.620"",""1.76%"""
"Mar 29, 2018,""0.624"",""0.632"",""0.640"",""0.622"",""-0.48%"""
"Mar 28, 2018,""0.627"",""0.624"",""0.627"",""0.621"",""0.00%"""
"Mar 27, 2018,""0.627"",""0.657"",""0.658"",""0.626"",""-3.54%"""
"Mar 26, 2018,""0.650"",""0.658"",""0.668"",""0.649"",""-0.76%"""
"Mar 23, 2018,""0.655"",""0.657"",""0.657"",""0.651"",""-0.91%"""
"Mar 22, 2018,""0.661"",""0.711"",""0.711"",""0.653"",""-8.45%"""
"Mar 21, 2018,""0.722"",""0.717"",""0.734"",""0.717"",""1.12%"""
"Mar 20, 2018,""0.714"",""0.709"",""0.714"",""0.709"",""0.71%"""
"Mar 19, 2018,""0.709"",""0.712"",""0.736"",""0.706"",""-0.98%"""
"Mar 16, 2018,""0.716"",""0.718"",""0.735"",""0.709"",""-0.69%"""
"Mar 15, 2018,""0.721"",""0.732"",""0.738"",""0.716"",""-2.30%"""
"Mar 14, 2018,""0.738"",""0.744"",""0.768"",""0.736"",""-0.81%"""
"Mar 13, 2018,""0.744"",""0.744"",""0.747"",""0.744"",""-0.40%"""
"Mar 12, 2018,""0.747"",""0.755"",""0.765"",""0.747"",""-1.58%"""
"Mar 09, 2018,""0.759"",""0.746"",""0.761"",""0.745"",""1.61%"""
"Mar 08, 2018,""0.747"",""0.780"",""0.809"",""0.747"",""-3.98%"""
"Mar 07, 2018,""0.778"",""0.793"",""0.797"",""0.776"",""0.39%"""
"Mar 06, 2018,""0.775"",""0.782"",""0.791"",""0.775"",""2.51%"""
"Mar 05, 2018,""0.756"",""0.743"",""0.763"",""0.728"",""-1.31%"""
"Mar 02, 2018,""0.766"",""0.746"",""0.766"",""0.730"",""0.52%"""
