"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""0.727"",""0.727"",""0.753"",""0.720"",""0.82%"""
"Jun 25, 2018,""0.721"",""0.699"",""0.730"",""0.688"",""1.84%"""
"Jun 23, 2018,""0.708"",""0.708"",""0.708"",""0.708"",""-0.42%"""
"Jun 22, 2018,""0.711"",""0.715"",""0.720"",""0.700"",""0.71%"""
"Jun 21, 2018,""0.706"",""0.723"",""0.727"",""0.688"",""-0.56%"""
"Jun 20, 2018,""0.710"",""0.710"",""0.722"",""0.698"",""0.00%"""
"Jun 19, 2018,""0.710"",""0.708"",""0.719"",""0.686"",""-2.61%"""
"Jun 18, 2018,""0.729"",""0.741"",""0.753"",""0.718"",""0.28%"""
"Jun 15, 2018,""0.727"",""0.762"",""0.762"",""0.712"",""-5.83%"""
"Jun 14, 2018,""0.772"",""0.854"",""0.876"",""0.762"",""-7.99%"""
"Jun 13, 2018,""0.839"",""0.871"",""0.871"",""0.834"",""-5.84%"""
"Jun 12, 2018,""0.891"",""0.913"",""0.918"",""0.887"",""5.07%"""
"Jun 11, 2018,""0.848"",""0.830"",""0.887"",""0.815"",""1.41%"""
"Jun 09, 2018,""0.836"",""0.836"",""0.836"",""0.836"",""1.23%"""
"Jun 08, 2018,""0.826"",""0.787"",""0.836"",""0.768"",""-1.20%"""
"Jun 07, 2018,""0.836"",""0.834"",""0.864"",""0.819"",""1.33%"""
"Jun 06, 2018,""0.825"",""0.736"",""0.825"",""0.718"",""14.42%"""
"Jun 05, 2018,""0.721"",""0.731"",""0.745"",""0.682"",""-2.96%"""
"Jun 04, 2018,""0.743"",""0.728"",""0.744"",""0.696"",""9.73%"""
"Jun 02, 2018,""0.677"",""0.677"",""0.677"",""0.677"",""-3.13%"""
"Jun 01, 2018,""0.699"",""0.704"",""0.732"",""0.679"",""3.86%"""
"May 31, 2018,""0.673"",""0.706"",""0.733"",""0.663"",""-4.40%"""
"May 30, 2018,""0.704"",""0.681"",""0.723"",""0.664"",""6.34%"""
"May 29, 2018,""0.662"",""0.702"",""0.741"",""0.629"",""-5.16%"""
"May 28, 2018,""0.698"",""0.762"",""0.777"",""0.657"",""-2.79%"""
"May 25, 2018,""0.718"",""0.757"",""0.780"",""0.702"",""-4.65%"""
"May 24, 2018,""0.753"",""0.816"",""0.833"",""0.752"",""-6.69%"""
"May 23, 2018,""0.807"",""0.820"",""0.830"",""0.781"",""-3.24%"""
"May 22, 2018,""0.834"",""0.816"",""0.852"",""0.779"",""-1.65%"""
"May 21, 2018,""0.848"",""0.842"",""0.855"",""0.824"",""-2.58%"""
"May 20, 2018,""0.871"",""0.871"",""0.871"",""0.871"",""0.00%"""
"May 19, 2018,""0.871"",""0.871"",""0.871"",""0.871"",""4.38%"""
"May 18, 2018,""0.834"",""0.862"",""0.890"",""0.827"",""-3.81%"""
"May 17, 2018,""0.867"",""0.874"",""0.899"",""0.839"",""1.52%"""
"May 16, 2018,""0.854"",""0.855"",""0.872"",""0.820"",""-1.27%"""
"May 15, 2018,""0.865"",""0.855"",""0.876"",""0.835"",""2.73%"""
"May 14, 2018,""0.842"",""0.782"",""0.853"",""0.782"",""6.92%"""
"May 12, 2018,""0.788"",""0.788"",""0.788"",""0.788"",""-1.32%"""
"May 11, 2018,""0.798"",""0.794"",""0.811"",""0.777"",""0.63%"""
"May 10, 2018,""0.793"",""0.811"",""0.817"",""0.774"",""-1.12%"""
"May 09, 2018,""0.802"",""0.821"",""0.834"",""0.795"",""-0.50%"""
"May 08, 2018,""0.806"",""0.772"",""0.820"",""0.770"",""5.50%"""
"May 07, 2018,""0.764"",""0.776"",""0.795"",""0.759"",""0.47%"""
"May 05, 2018,""0.760"",""0.780"",""0.780"",""0.760"",""-1.88%"""
"May 04, 2018,""0.775"",""0.774"",""0.794"",""0.756"",""2.24%"""
"May 03, 2018,""0.758"",""0.813"",""0.832"",""0.755"",""-5.72%"""
"May 02, 2018,""0.804"",""0.802"",""0.826"",""0.795"",""0.44%"""
"May 01, 2018,""0.800"",""0.783"",""0.802"",""0.783"",""-1.42%"""
"Apr 30, 2018,""0.812"",""0.801"",""0.830"",""0.793"",""-1.30%"""
"Apr 28, 2018,""0.823"",""0.823"",""0.823"",""0.823"",""1.95%"""
"Apr 27, 2018,""0.807"",""0.807"",""0.821"",""0.787"",""-2.30%"""
"Apr 26, 2018,""0.826"",""0.853"",""0.871"",""0.808"",""-3.84%"""
"Apr 25, 2018,""0.859"",""0.854"",""0.887"",""0.847"",""-0.23%"""
"Apr 24, 2018,""0.861"",""0.837"",""0.883"",""0.825"",""2.14%"""
"Apr 23, 2018,""0.843"",""0.841"",""0.865"",""0.828"",""3.01%"""
"Apr 21, 2018,""0.818"",""0.818"",""0.818"",""0.818"",""-1.40%"""
"Apr 20, 2018,""0.830"",""0.814"",""0.844"",""0.802"",""1.34%"""
"Apr 19, 2018,""0.819"",""0.762"",""0.831"",""0.757"",""9.05%"""
"Apr 18, 2018,""0.751"",""0.739"",""0.762"",""0.713"",""1.76%"""
"Apr 17, 2018,""0.738"",""0.759"",""0.775"",""0.728"",""-2.89%"""
"Apr 16, 2018,""0.760"",""0.755"",""0.795"",""0.746"",""0.69%"""
"Apr 14, 2018,""0.755"",""0.749"",""0.755"",""0.749"",""2.42%"""
"Apr 13, 2018,""0.737"",""0.757"",""0.784"",""0.737"",""-2.12%"""
"Apr 12, 2018,""0.753"",""0.749"",""0.766"",""0.729"",""2.03%"""
"Apr 11, 2018,""0.738"",""0.747"",""0.768"",""0.719"",""-3.15%"""
"Apr 10, 2018,""0.762"",""0.746"",""0.779"",""0.720"",""2.83%"""
"Apr 09, 2018,""0.741"",""0.741"",""0.759"",""0.730"",""-2.67%"""
"Apr 07, 2018,""0.761"",""0.738"",""0.761"",""0.738"",""3.58%"""
"Apr 06, 2018,""0.735"",""0.747"",""0.770"",""0.733"",""-2.65%"""
"Apr 05, 2018,""0.755"",""0.746"",""0.775"",""0.721"",""3.85%"""
"Apr 04, 2018,""0.727"",""0.737"",""0.751"",""0.707"",""-3.20%"""
"Apr 03, 2018,""0.751"",""0.724"",""0.760"",""0.716"",""2.29%"""
"Apr 02, 2018,""0.734"",""0.719"",""0.734"",""0.719"",""0.00%"""
"Mar 30, 2018,""0.734"",""0.715"",""0.734"",""0.715"",""1.97%"""
"Mar 29, 2018,""0.720"",""0.743"",""0.755"",""0.720"",""-1.91%"""
"Mar 28, 2018,""0.734"",""0.731"",""0.749"",""0.700"",""-0.68%"""
"Mar 27, 2018,""0.739"",""0.778"",""0.782"",""0.735"",""-4.27%"""
"Mar 26, 2018,""0.772"",""0.778"",""0.791"",""0.758"",""0.00%"""
"Mar 24, 2018,""0.772"",""0.766"",""0.772"",""0.759"",""1.25%"""
"Mar 23, 2018,""0.763"",""0.778"",""0.795"",""0.754"",""0.00%"""
"Mar 22, 2018,""0.763"",""0.815"",""0.827"",""0.754"",""-9.27%"""
"Mar 21, 2018,""0.841"",""0.828"",""0.860"",""0.825"",""1.82%"""
"Mar 20, 2018,""0.826"",""0.832"",""0.849"",""0.818"",""-0.36%"""
"Mar 19, 2018,""0.829"",""0.834"",""0.864"",""0.812"",""0.99%"""
"Mar 17, 2018,""0.821"",""0.821"",""0.821"",""0.821"",""-0.50%"""
"Mar 16, 2018,""0.825"",""0.822"",""0.853"",""0.804"",""0.00%"""
"Mar 15, 2018,""0.825"",""0.839"",""0.859"",""0.810"",""-0.96%"""
"Mar 14, 2018,""0.833"",""0.853"",""0.889"",""0.830"",""-3.59%"""
"Mar 13, 2018,""0.864"",""0.880"",""0.894"",""0.855"",""-1.26%"""
"Mar 12, 2018,""0.875"",""0.906"",""0.912"",""0.863"",""-0.17%"""
"Mar 10, 2018,""0.877"",""0.877"",""0.877"",""0.877"",""-2.72%"""
"Mar 09, 2018,""0.901"",""0.883"",""0.913"",""0.869"",""3.56%"""
"Mar 08, 2018,""0.870"",""0.910"",""0.952"",""0.862"",""-4.08%"""
"Mar 07, 2018,""0.907"",""0.911"",""0.937"",""0.893"",""-6.40%"""
"Mar 06, 2018,""0.969"",""0.911"",""0.991"",""0.896"",""8.88%"""
"Mar 05, 2018,""0.890"",""0.880"",""0.927"",""0.877"",""-2.36%"""
"Mar 03, 2018,""0.911"",""0.915"",""0.915"",""0.911"",""0.28%"""
"Mar 02, 2018,""0.909"",""0.900"",""0.934"",""0.882"",""0.33%"""
"Mar 01, 2018,""0.906"",""0.926"",""0.938"",""0.893"",""-2.79%"""
"Feb 28, 2018,""0.932"",""0.955"",""0.969"",""0.919"",""-2.92%"""
"Feb 27, 2018,""0.960"",""0.935"",""0.969"",""0.929"",""1.59%"""
"Feb 26, 2018,""0.945"",""0.943"",""0.966"",""0.919"",""2.16%"""
"Feb 23, 2018,""0.925"",""0.978"",""0.992"",""0.923"",""-5.61%"""
"Feb 22, 2018,""0.980"",""1.004"",""1.019"",""0.968"",""-1.31%"""
"Feb 21, 2018,""0.993"",""0.999"",""1.006"",""0.961"",""-0.90%"""
"Feb 20, 2018,""1.002"",""1.007"",""1.031"",""0.971"",""-0.40%"""
"Feb 19, 2018,""1.006"",""0.972"",""1.015"",""0.965"",""4.93%"""
"Feb 18, 2018,""0.959"",""0.959"",""0.959"",""0.959"",""0.92%"""
"Feb 16, 2018,""0.950"",""1.013"",""1.029"",""0.947"",""-5.38%"""
"Feb 15, 2018,""1.004"",""1.030"",""1.048"",""0.996"",""0.50%"""
"Feb 14, 2018,""0.999"",""0.986"",""1.028"",""0.963"",""0.91%"""
"Feb 13, 2018,""0.990"",""0.988"",""1.009"",""0.964"",""-1.10%"""
"Feb 12, 2018,""1.001"",""1.018"",""1.034"",""0.978"",""1.62%"""
"Feb 09, 2018,""0.985"",""1.008"",""1.016"",""0.965"",""-3.53%"""
"Feb 08, 2018,""1.021"",""0.988"",""1.048"",""0.969"",""4.18%"""
"Feb 07, 2018,""0.980"",""0.973"",""0.998"",""0.935"",""1.98%"""
"Feb 06, 2018,""0.961"",""0.979"",""1.001"",""0.928"",""-4.09%"""
"Feb 05, 2018,""1.002"",""1.021"",""1.053"",""0.975"",""-0.89%"""
"Feb 02, 2018,""1.011"",""1.014"",""1.057"",""0.981"",""1.71%"""
"Feb 01, 2018,""0.994"",""0.982"",""1.026"",""0.957"",""1.64%"""
"Jan 31, 2018,""0.978"",""0.961"",""0.996"",""0.937"",""0.72%"""
"Jan 30, 2018,""0.971"",""0.969"",""0.991"",""0.945"",""-0.51%"""
"Jan 29, 2018,""0.976"",""0.939"",""0.995"",""0.918"",""6.32%"""
"Jan 26, 2018,""0.918"",""0.876"",""0.926"",""0.862"",""2.68%"""
"Jan 25, 2018,""0.894"",""0.845"",""0.927"",""0.838"",""2.88%"""
"Jan 24, 2018,""0.869"",""0.856"",""0.886"",""0.842"",""3.21%"""
"Jan 23, 2018,""0.842"",""0.850"",""0.851"",""0.814"",""-0.94%"""
"Jan 22, 2018,""0.850"",""0.849"",""0.877"",""0.837"",""0.12%"""
"Jan 19, 2018,""0.849"",""0.865"",""0.879"",""0.833"",""0.00%"""
"Jan 18, 2018,""0.849"",""0.854"",""0.882"",""0.840"",""1.80%"""
"Jan 17, 2018,""0.834"",""0.839"",""0.849"",""0.816"",""-0.12%"""
"Jan 16, 2018,""0.835"",""0.854"",""0.876"",""0.814"",""-2.57%"""
"Jan 15, 2018,""0.857"",""0.859"",""0.871"",""0.833"",""-1.15%"""
"Jan 12, 2018,""0.867"",""0.883"",""0.885"",""0.842"",""-1.25%"""
"Jan 11, 2018,""0.878"",""0.805"",""0.884"",""0.785"",""6.42%"""
"Jan 10, 2018,""0.825"",""0.830"",""0.836"",""0.805"",""2.23%"""
"Jan 09, 2018,""0.807"",""0.801"",""0.818"",""0.762"",""3.33%"""
"Jan 08, 2018,""0.781"",""0.803"",""0.823"",""0.766"",""-2.74%"""
"Jan 05, 2018,""0.803"",""0.798"",""0.807"",""0.779"",""1.26%"""
"Jan 04, 2018,""0.793"",""0.812"",""0.822"",""0.787"",""-0.75%"""
"Jan 03, 2018,""0.799"",""0.823"",""0.831"",""0.779"",""-2.32%"""
"Jan 02, 2018,""0.818"",""0.791"",""0.828"",""0.791"",""3.02%"""
"Jan 01, 2018,""0.794"",""0.768"",""0.811"",""0.756"",""1.28%"""
"Dec 29, 2017,""0.784"",""0.768"",""0.811"",""0.756"",""3.43%"""
"Dec 28, 2017,""0.758"",""0.729"",""0.771"",""0.723"",""5.42%"""
"Dec 27, 2017,""0.719"",""0.750"",""0.759"",""0.717"",""-4.35%"""
"Dec 26, 2017,""0.752"",""0.744"",""0.752"",""0.744"",""0.00%"""
"Dec 25, 2017,""0.752"",""0.744"",""0.752"",""0.742"",""1.44%"""
"Dec 22, 2017,""0.741"",""0.744"",""0.754"",""0.730"",""-1.07%"""
"Dec 21, 2017,""0.749"",""0.749"",""0.764"",""0.734"",""-1.71%"""
"Dec 20, 2017,""0.762"",""0.704"",""0.769"",""0.680"",""8.55%"""
"Dec 19, 2017,""0.702"",""0.641"",""0.711"",""0.619"",""10.38%"""
"Dec 18, 2017,""0.636"",""0.634"",""0.651"",""0.615"",""0.20%"""
