"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""4.107"",""4.135"",""4.153"",""4.080"",""-0.85%"""
"Jun 25, 2018,""4.142"",""4.139"",""4.171"",""4.126"",""-0.22%"""
"Jun 22, 2018,""4.151"",""4.330"",""4.330"",""4.095"",""-3.64%"""
"Jun 21, 2018,""4.308"",""4.372"",""4.373"",""4.306"",""-1.24%"""
"Jun 20, 2018,""4.362"",""4.424"",""4.435"",""4.332"",""-0.71%"""
"Jun 19, 2018,""4.393"",""4.433"",""4.449"",""4.393"",""-0.81%"""
"Jun 18, 2018,""4.429"",""4.518"",""4.531"",""4.429"",""-1.45%"""
"Jun 15, 2018,""4.494"",""4.616"",""4.622"",""4.494"",""-2.28%"""
"Jun 14, 2018,""4.599"",""4.565"",""4.664"",""4.565"",""0.63%"""
"Jun 13, 2018,""4.570"",""4.510"",""4.570"",""4.484"",""0.77%"""
"Jun 12, 2018,""4.535"",""4.511"",""4.536"",""4.364"",""0.71%"""
"Jun 11, 2018,""4.503"",""4.683"",""4.706"",""4.450"",""-3.84%"""
"Jun 08, 2018,""4.683"",""4.581"",""4.844"",""4.576"",""2.32%"""
"Jun 07, 2018,""4.577"",""4.582"",""4.609"",""4.557"",""-0.67%"""
"Jun 06, 2018,""4.608"",""4.530"",""4.610"",""4.516"",""2.11%"""
"Jun 05, 2018,""4.513"",""4.490"",""4.514"",""4.463"",""1.03%"""
"Jun 04, 2018,""4.467"",""4.529"",""4.529"",""4.455"",""-0.62%"""
"Jun 01, 2018,""4.495"",""4.600"",""4.600"",""4.460"",""-1.77%"""
"May 31, 2018,""4.576"",""4.606"",""4.611"",""4.436"",""0.02%"""
"May 30, 2018,""4.575"",""4.801"",""4.803"",""4.569"",""-4.96%"""
"May 29, 2018,""4.814"",""4.455"",""4.960"",""4.453"",""7.53%"""
"May 28, 2018,""4.477"",""4.424"",""4.479"",""4.374"",""1.77%"""
"May 25, 2018,""4.399"",""4.265"",""4.400"",""4.263"",""3.17%"""
"May 24, 2018,""4.264"",""4.374"",""4.376"",""4.204"",""-2.67%"""
"May 23, 2018,""4.381"",""4.359"",""4.442"",""4.359"",""-0.59%"""
"May 22, 2018,""4.407"",""4.529"",""4.538"",""4.382"",""-1.61%"""
"May 21, 2018,""4.479"",""4.519"",""4.563"",""4.479"",""-1.41%"""
"May 20, 2018,""4.543"",""4.543"",""4.543"",""4.543"",""0.11%"""
"May 18, 2018,""4.538"",""4.441"",""4.538"",""4.441"",""2.00%"""
"May 17, 2018,""4.449"",""4.369"",""4.470"",""4.369"",""2.82%"""
"May 16, 2018,""4.327"",""4.133"",""4.382"",""4.112"",""5.02%"""
"May 15, 2018,""4.120"",""4.052"",""4.120"",""4.046"",""2.03%"""
"May 14, 2018,""4.038"",""4.020"",""4.047"",""4.004"",""0.57%"""
"May 11, 2018,""4.015"",""4.091"",""4.097"",""4.012"",""-1.91%"""
"May 10, 2018,""4.093"",""4.207"",""4.207"",""4.072"",""-2.32%"""
"May 09, 2018,""4.190"",""4.201"",""4.263"",""4.190"",""1.09%"""
"May 08, 2018,""4.145"",""4.135"",""4.170"",""4.089"",""1.17%"""
"May 07, 2018,""4.097"",""4.135"",""4.140"",""4.096"",""-0.75%"""
"May 04, 2018,""4.128"",""3.999"",""4.128"",""3.973"",""3.56%"""
"May 03, 2018,""3.986"",""3.928"",""3.990"",""3.898"",""1.84%"""
"May 02, 2018,""3.914"",""3.853"",""3.922"",""3.830"",""1.87%"""
"May 01, 2018,""3.842"",""3.823"",""3.842"",""3.823"",""0.00%"""
"Apr 30, 2018,""3.842"",""3.922"",""3.924"",""3.831"",""-1.84%"""
"Apr 27, 2018,""3.914"",""3.940"",""3.944"",""3.901"",""-0.56%"""
"Apr 26, 2018,""3.936"",""3.969"",""3.976"",""3.934"",""-1.08%"""
"Apr 25, 2018,""3.979"",""3.997"",""4.005"",""3.918"",""-0.60%"""
"Apr 24, 2018,""4.003"",""4.030"",""4.044"",""4.003"",""-0.92%"""
"Apr 23, 2018,""4.040"",""4.036"",""4.043"",""4.028"",""-0.49%"""
"Apr 20, 2018,""4.060"",""4.040"",""4.070"",""4.034"",""0.72%"""
"Apr 19, 2018,""4.031"",""3.995"",""4.031"",""3.992"",""0.62%"""
"Apr 18, 2018,""4.006"",""4.023"",""4.028"",""3.997"",""-0.45%"""
"Apr 17, 2018,""4.024"",""4.049"",""4.056"",""4.021"",""-1.13%"""
"Apr 16, 2018,""4.070"",""4.121"",""4.121"",""4.068"",""-0.93%"""
"Apr 13, 2018,""4.108"",""4.017"",""4.133"",""4.008"",""2.85%"""
"Apr 12, 2018,""3.994"",""4.097"",""4.098"",""3.994"",""-2.68%"""
"Apr 11, 2018,""4.104"",""4.049"",""4.106"",""4.049"",""1.08%"""
