"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 25, 2018,""3.610"",""3.610"",""3.610"",""3.610"",""0.00%"""
"Jun 22, 2018,""3.610"",""3.610"",""3.610"",""3.610"",""-0.28%"""
"Jun 21, 2018,""3.620"",""3.620"",""3.620"",""3.620"",""2.26%"""
"Jun 20, 2018,""3.540"",""3.540"",""3.540"",""3.540"",""-0.56%"""
"Jun 19, 2018,""3.560"",""3.560"",""3.560"",""3.560"",""0.56%"""
"Jun 18, 2018,""3.540"",""3.540"",""3.540"",""3.540"",""0.57%"""
"Jun 15, 2018,""3.520"",""3.520"",""3.520"",""3.520"",""-1.95%"""
"Jun 14, 2018,""3.590"",""3.590"",""3.590"",""3.590"",""1.70%"""
"Jun 13, 2018,""3.530"",""3.530"",""3.530"",""3.530"",""4.44%"""
"Jun 12, 2018,""3.380"",""3.380"",""3.380"",""3.380"",""2.11%"""
"Jun 11, 2018,""3.310"",""3.310"",""3.310"",""3.310"",""1.22%"""
"Jun 08, 2018,""3.270"",""3.270"",""3.270"",""3.270"",""4.14%"""
"Jun 07, 2018,""3.140"",""3.140"",""3.140"",""3.140"",""1.62%"""
"Jun 06, 2018,""3.090"",""3.090"",""3.090"",""3.090"",""-0.96%"""
"Jun 05, 2018,""3.120"",""3.120"",""3.120"",""3.120"",""-1.89%"""
"Jun 04, 2018,""3.180"",""3.180"",""3.180"",""3.180"",""-0.31%"""
"Jun 01, 2018,""3.190"",""3.190"",""3.190"",""3.190"",""-0.93%"""
"May 31, 2018,""3.220"",""3.220"",""3.220"",""3.220"",""-0.31%"""
"May 30, 2018,""3.230"",""3.230"",""3.230"",""3.230"",""1.89%"""
"May 29, 2018,""3.170"",""3.170"",""3.170"",""3.170"",""1.60%"""
"May 28, 2018,""3.120"",""3.120"",""3.120"",""3.120"",""-0.64%"""
"May 25, 2018,""3.140"",""3.140"",""3.140"",""3.140"",""0.32%"""
"May 24, 2018,""3.130"",""3.130"",""3.130"",""3.130"",""-4.86%"""
"May 23, 2018,""3.290"",""3.290"",""3.290"",""3.290"",""1.23%"""
"May 22, 2018,""3.250"",""3.250"",""3.250"",""3.250"",""3.50%"""
