"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""0.862"",""0.854"",""0.883"",""0.854"",""-0.46%"""
"Jun 25, 2018,""0.866"",""0.850"",""0.867"",""0.831"",""1.88%"""
"Jun 22, 2018,""0.850"",""0.852"",""0.863"",""0.840"",""1.19%"""
"Jun 21, 2018,""0.840"",""0.856"",""0.860"",""0.826"",""-0.94%"""
"Jun 20, 2018,""0.848"",""0.857"",""0.868"",""0.834"",""-0.35%"""
"Jun 19, 2018,""0.851"",""0.863"",""0.867"",""0.833"",""-3.84%"""
"Jun 18, 2018,""0.885"",""0.898"",""0.906"",""0.877"",""-1.67%"""
"Jun 17, 2018,""0.900"",""0.900"",""0.900"",""0.900"",""0.00%"""
"Jun 16, 2018,""0.900"",""0.900"",""0.900"",""0.900"",""1.01%"""
"Jun 15, 2018,""0.891"",""0.911"",""0.919"",""0.872"",""-4.71%"""
"Jun 14, 2018,""0.935"",""1.022"",""1.033"",""0.933"",""-7.06%"""
"Jun 13, 2018,""1.006"",""1.030"",""1.033"",""1.003"",""-3.92%"""
"Jun 12, 2018,""1.047"",""1.080"",""1.080"",""1.046"",""-2.51%"""
"Jun 11, 2018,""1.074"",""1.058"",""1.091"",""1.034"",""2.97%"""
"Jun 08, 2018,""1.043"",""1.035"",""1.059"",""1.003"",""-2.07%"""
"Jun 07, 2018,""1.065"",""1.081"",""1.081"",""1.048"",""3.20%"""
"Jun 06, 2018,""1.032"",""0.978"",""1.044"",""0.969"",""9.55%"""
"Jun 05, 2018,""0.942"",""0.965"",""0.977"",""0.937"",""-3.38%"""
"Jun 04, 2018,""0.975"",""0.979"",""0.979"",""0.952"",""1.14%"""
"Jun 01, 2018,""0.964"",""0.984"",""0.986"",""0.940"",""2.88%"""
"May 31, 2018,""0.937"",""1.015"",""1.019"",""0.935"",""-6.77%"""
"May 30, 2018,""1.005"",""0.980"",""1.046"",""0.977"",""4.58%"""
"May 29, 2018,""0.961"",""0.964"",""1.000"",""0.953"",""-0.10%"""
"May 28, 2018,""0.962"",""0.977"",""0.988"",""0.937"",""1.37%"""
