"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""2.946"",""2.833"",""2.951"",""2.812"",""3.26%"""
"Jun 25, 2018,""2.853"",""2.766"",""2.858"",""2.755"",""5.20%"""
"Jun 22, 2018,""2.712"",""2.700"",""2.720"",""2.642"",""-1.42%"""
"Jun 21, 2018,""2.751"",""2.563"",""2.762"",""2.555"",""7.42%"""
"Jun 20, 2018,""2.561"",""2.555"",""2.569"",""2.536"",""0.04%"""
"Jun 19, 2018,""2.560"",""2.607"",""2.614"",""2.543"",""0.04%"""
"Jun 18, 2018,""2.559"",""2.610"",""2.655"",""2.549"",""-2.22%"""
"Jun 15, 2018,""2.617"",""2.654"",""2.666"",""2.570"",""-5.01%"""
"Jun 14, 2018,""2.755"",""2.843"",""2.927"",""2.747"",""-2.13%"""
"Jun 13, 2018,""2.815"",""2.772"",""2.849"",""2.763"",""-2.05%"""
"Jun 12, 2018,""2.874"",""2.819"",""2.887"",""2.760"",""0.52%"""
"Jun 11, 2018,""2.859"",""2.859"",""2.995"",""2.832"",""-8.66%"""
"Jun 08, 2018,""3.130"",""3.119"",""3.140"",""3.034"",""3.92%"""
"Jun 07, 2018,""3.012"",""2.925"",""3.026"",""2.839"",""2.76%"""
"Jun 06, 2018,""2.931"",""2.848"",""2.975"",""2.828"",""6.27%"""
"Jun 05, 2018,""2.758"",""2.597"",""2.773"",""2.566"",""7.78%"""
"Jun 04, 2018,""2.559"",""2.616"",""2.616"",""2.509"",""-6.57%"""
"Jun 01, 2018,""2.739"",""2.627"",""2.774"",""2.531"",""-3.42%"""
"May 31, 2018,""2.836"",""2.865"",""2.880"",""2.640"",""-7.14%"""
"May 30, 2018,""3.054"",""3.086"",""3.126"",""2.842"",""-1.61%"""
"May 29, 2018,""3.104"",""2.884"",""3.388"",""2.823"",""15.73%"""
"May 28, 2018,""2.682"",""2.366"",""2.697"",""2.364"",""9.34%"""
"May 25, 2018,""2.453"",""2.463"",""2.549"",""2.413"",""2.21%"""
"May 24, 2018,""2.400"",""2.335"",""2.414"",""2.307"",""-0.29%"""
"May 23, 2018,""2.407"",""2.327"",""2.455"",""2.318"",""3.53%"""
"May 22, 2018,""2.325"",""2.350"",""2.384"",""2.280"",""-0.43%"""
"May 21, 2018,""2.335"",""2.263"",""2.416"",""2.248"",""5.13%"""
"May 20, 2018,""2.221"",""2.234"",""2.234"",""2.221"",""0.18%"""
"May 18, 2018,""2.217"",""2.157"",""2.230"",""2.134"",""4.87%"""
"May 17, 2018,""2.114"",""2.105"",""2.182"",""2.091"",""0.91%"""
"May 16, 2018,""2.095"",""1.993"",""2.126"",""1.983"",""8.10%"""
"May 15, 2018,""1.938"",""1.929"",""1.950"",""1.893"",""1.31%"""
"May 14, 2018,""1.913"",""1.894"",""1.921"",""1.892"",""1.59%"""
"May 11, 2018,""1.883"",""1.912"",""1.915"",""1.867"",""-2.69%"""
"May 10, 2018,""1.935"",""1.915"",""1.938"",""1.892"",""3.14%"""
"May 09, 2018,""1.876"",""1.861"",""1.895"",""1.839"",""0.75%"""
"May 08, 2018,""1.862"",""1.792"",""1.867"",""1.792"",""5.62%"""
"May 07, 2018,""1.763"",""1.779"",""1.787"",""1.760"",""-1.67%"""
"May 04, 2018,""1.793"",""1.722"",""1.796"",""1.713"",""3.40%"""
"May 03, 2018,""1.734"",""1.803"",""1.806"",""1.732"",""-2.58%"""
"May 02, 2018,""1.780"",""1.780"",""1.786"",""1.754"",""-0.34%"""
"May 01, 2018,""1.786"",""1.790"",""1.790"",""1.786"",""0.34%"""
"Apr 30, 2018,""1.780"",""1.756"",""1.802"",""1.744"",""2.59%"""
"Apr 27, 2018,""1.735"",""1.740"",""1.764"",""1.727"",""-0.57%"""
"Apr 26, 2018,""1.745"",""1.761"",""1.767"",""1.738"",""-1.91%"""
"Apr 25, 2018,""1.779"",""1.768"",""1.791"",""1.749"",""0.17%"""
"Apr 24, 2018,""1.776"",""1.781"",""1.809"",""1.765"",""-0.89%"""
"Apr 23, 2018,""1.792"",""1.795"",""1.801"",""1.774"",""0.79%"""
"Apr 21, 2018,""1.778"",""1.778"",""1.778"",""1.778"",""0.57%"""
"Apr 20, 2018,""1.768"",""1.790"",""1.807"",""1.768"",""-0.51%"""
"Apr 19, 2018,""1.777"",""1.727"",""1.781"",""1.727"",""3.37%"""
"Apr 18, 2018,""1.719"",""1.744"",""1.747"",""1.713"",""-2.33%"""
"Apr 17, 2018,""1.760"",""1.792"",""1.801"",""1.751"",""-2.22%"""
"Apr 16, 2018,""1.800"",""1.795"",""1.824"",""1.795"",""0.11%"""
"Apr 14, 2018,""1.798"",""1.804"",""1.804"",""1.798"",""0.28%"""
"Apr 13, 2018,""1.793"",""1.807"",""1.825"",""1.790"",""-0.83%"""
"Apr 12, 2018,""1.808"",""1.806"",""1.822"",""1.788"",""1.57%"""
"Apr 11, 2018,""1.780"",""1.778"",""1.791"",""1.773"",""-0.73%"""
"Apr 10, 2018,""1.793"",""1.771"",""1.798"",""1.760"",""1.53%"""
"Apr 09, 2018,""1.766"",""1.767"",""1.779"",""1.764"",""-1.01%"""
"Apr 06, 2018,""1.784"",""1.778"",""1.824"",""1.775"",""0.39%"""
"Apr 05, 2018,""1.777"",""1.741"",""1.790"",""1.730"",""1.95%"""
"Apr 04, 2018,""1.743"",""1.801"",""1.804"",""1.737"",""-2.41%"""
