"Date","Price","Open","High","Low","Change %"
"Jun 26, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 25, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 22, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 21, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 20, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 19, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 18, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 14, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 13, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 12, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 11, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 08, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 07, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 06, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 05, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 04, 2018","0.550","0.550","0.550","0.550","0.00%"
"Jun 01, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 31, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 30, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 29, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 28, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 25, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 24, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 23, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 22, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 21, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 20, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 18, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 17, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 16, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 15, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 14, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 11, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 10, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 09, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 08, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 07, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 03, 2018","0.550","0.550","0.550","0.550","0.00%"
"May 02, 2018","0.550","0.550","0.550","0.550","0.00%"
"Apr 27, 2018","0.550","0.550","0.550","0.550","0.00%"
"Apr 26, 2018","0.550","0.550","0.550","0.550","0.00%"
"Apr 25, 2018","0.550","0.550","0.550","0.550","0.00%"
