"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 25, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 22, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 21, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 20, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 19, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 18, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 15, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 14, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""0.00%"""
"Jun 13, 2018,""1.050"",""1.050"",""1.050"",""1.050"",""-8.70%"""
"Jun 12, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"Jun 11, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"Jun 08, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"Jun 07, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"Jun 06, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"Jun 05, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"Jun 04, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"Jun 01, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"May 31, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"May 30, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"May 29, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"May 28, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"May 25, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
"May 24, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""-4.17%"""
"May 23, 2018,""1.200"",""1.200"",""1.200"",""1.200"",""0.00%"""
"May 22, 2018,""1.200"",""1.200"",""1.200"",""1.200"",""0.00%"""
"May 21, 2018,""1.200"",""1.200"",""1.200"",""1.200"",""4.35%"""
"May 20, 2018,""1.150"",""1.150"",""1.150"",""1.150"",""0.00%"""
