"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 25, 2018,""1.331"",""1.331"",""1.331"",""1.331"",""0.99%"""
"Jun 22, 2018,""1.318"",""1.318"",""1.318"",""1.318"",""-0.60%"""
"Jun 21, 2018,""1.326"",""1.326"",""1.326"",""1.326"",""0.99%"""
"Jun 20, 2018,""1.313"",""1.313"",""1.313"",""1.313"",""-1.06%"""
"Jun 19, 2018,""1.327"",""1.327"",""1.327"",""1.327"",""-2.93%"""
"Jun 18, 2018,""1.367"",""1.367"",""1.367"",""1.367"",""0.44%"""
"Jun 15, 2018,""1.361"",""1.361"",""1.361"",""1.361"",""-3.95%"""
"Jun 14, 2018,""1.417"",""1.417"",""1.417"",""1.417"",""1.58%"""
"Jun 13, 2018,""1.395"",""1.395"",""1.395"",""1.395"",""-1.48%"""
"Jun 12, 2018,""1.416"",""1.416"",""1.416"",""1.416"",""1.80%"""
"Jun 11, 2018,""1.391"",""1.391"",""1.391"",""1.391"",""-1.35%"""
"Jun 08, 2018,""1.410"",""1.410"",""1.410"",""1.410"",""2.99%"""
"Jun 06, 2018,""1.369"",""1.369"",""1.369"",""1.369"",""2.24%"""
"Jun 05, 2018,""1.339"",""1.339"",""1.339"",""1.339"",""-0.96%"""
"Jun 04, 2018,""1.352"",""1.352"",""1.352"",""1.352"",""-0.81%"""
"Jun 01, 2018,""1.363"",""1.363"",""1.363"",""1.363"",""-1.45%"""
"May 31, 2018,""1.383"",""1.383"",""1.383"",""1.383"",""-1.71%"""
"May 30, 2018,""1.407"",""1.407"",""1.407"",""1.407"",""1.30%"""
"May 29, 2018,""1.389"",""1.389"",""1.389"",""1.389"",""3.27%"""
"May 28, 2018,""1.345"",""1.345"",""1.345"",""1.345"",""-0.81%"""
"May 25, 2018,""1.356"",""1.356"",""1.356"",""1.356"",""-1.38%"""
"May 24, 2018,""1.375"",""1.375"",""1.375"",""1.375"",""-0.65%"""
"May 23, 2018,""1.384"",""1.384"",""1.384"",""1.384"",""-0.43%"""
"May 22, 2018,""1.390"",""1.390"",""1.390"",""1.390"",""0.80%"""
"May 21, 2018,""1.379"",""1.379"",""1.379"",""1.379"",""1.17%"""
"May 20, 2018,""1.363"",""1.363"",""1.363"",""1.363"",""0.00%"""
"May 18, 2018,""1.363"",""1.363"",""1.363"",""1.363"",""0.96%"""
"May 17, 2018,""1.350"",""1.350"",""1.350"",""1.350"",""2.51%"""
"May 16, 2018,""1.317"",""1.317"",""1.317"",""1.317"",""1.86%"""
"May 15, 2018,""1.293"",""1.293"",""1.293"",""1.293"",""1.81%"""
"May 14, 2018,""1.270"",""1.270"",""1.270"",""1.270"",""0.95%"""
"May 11, 2018,""1.258"",""1.258"",""1.258"",""1.258"",""-1.10%"""
"May 10, 2018,""1.272"",""1.272"",""1.272"",""1.272"",""0.08%"""
"May 09, 2018,""1.271"",""1.271"",""1.271"",""1.271"",""2.91%"""
"May 08, 2018,""1.235"",""1.235"",""1.235"",""1.235"",""1.40%"""
"May 07, 2018,""1.218"",""1.218"",""1.218"",""1.218"",""2.10%"""
"May 04, 2018,""1.193"",""1.193"",""1.193"",""1.193"",""-4.64%"""
"May 03, 2018,""1.251"",""1.251"",""1.251"",""1.251"",""1.79%"""
"May 02, 2018,""1.229"",""1.229"",""1.229"",""1.229"",""-0.65%"""
"Apr 30, 2018,""1.237"",""1.237"",""1.237"",""1.237"",""0.81%"""
"Apr 27, 2018,""1.227"",""1.227"",""1.227"",""1.227"",""-2.08%"""
"Apr 26, 2018,""1.253"",""1.253"",""1.253"",""1.253"",""-0.95%"""
"Apr 25, 2018,""1.265"",""1.265"",""1.265"",""1.265"",""0.56%"""
"Apr 24, 2018,""1.258"",""1.258"",""1.258"",""1.258"",""-0.16%"""
"Apr 23, 2018,""1.260"",""1.260"",""1.260"",""1.260"",""0.88%"""
"Apr 20, 2018,""1.249"",""1.249"",""1.249"",""1.249"",""2.46%"""
"Apr 19, 2018,""1.219"",""1.219"",""1.219"",""1.219"",""0.99%"""
"Apr 18, 2018,""1.207"",""1.207"",""1.207"",""1.207"",""-2.35%"""
"Apr 17, 2018,""1.236"",""1.236"",""1.236"",""1.236"",""-1.04%"""
