"Date","Price","Open","High","Low","Change %"
"Jun 26, 2018","0.497","0.499","0.523","0.492","0.81%"
"Jun 25, 2018","0.493","0.477","0.512","0.467","-1.00%"
"Jun 23, 2018","0.498","0.498","0.498","0.498","0.20%"
"Jun 22, 2018","0.497","0.512","0.518","0.488","-0.20%"
"Jun 21, 2018","0.498","0.538","0.543","0.480","-6.57%"
"Jun 20, 2018","0.533","0.539","0.547","0.520","-0.19%"
"Jun 19, 2018","0.534","0.511","0.538","0.507","-3.44%"
"Jun 18, 2018","0.553","0.561","0.566","0.541","-1.43%"
"Jun 17, 2018","0.561","0.561","0.561","0.561","0.00%"
"Jun 16, 2018","0.561","0.561","0.561","0.561","-0.53%"
"Jun 15, 2018","0.564","0.555","0.574","0.533","-3.42%"
"Jun 14, 2018","0.584","0.655","0.681","0.580","-9.74%"
"Jun 13, 2018","0.647","0.663","0.669","0.634","-3.14%"
"Jun 12, 2018","0.668","0.686","0.696","0.661","-1.33%"
"Jun 11, 2018","0.677","0.666","0.689","0.642","5.45%"
"Jun 08, 2018","0.642","0.632","0.650","0.598","-5.73%"
"Jun 07, 2018","0.681","0.692","0.703","0.667","4.13%"
"Jun 06, 2018","0.654","0.597","0.659","0.585","19.34%"
"Jun 05, 2018","0.548","0.573","0.592","0.546","-8.36%"
"Jun 04, 2018","0.598","0.562","0.599","0.549","9.12%"
"Jun 01, 2018","0.548","0.581","0.581","0.531","-0.18%"
"May 31, 2018","0.549","0.555","0.594","0.511","-0.72%"
"May 30, 2018","0.553","0.528","0.573","0.505","17.66%"
"May 29, 2018","0.470","0.486","0.552","0.423","-10.48%"
"May 28, 2018","0.525","0.625","0.634","0.521","-9.79%"
"May 25, 2018","0.582","0.623","0.631","0.566","-8.78%"
"May 24, 2018","0.638","0.673","0.693","0.626","-4.78%"
"May 23, 2018","0.670","0.688","0.692","0.653","-6.16%"
"May 22, 2018","0.714","0.699","0.723","0.692","5.15%"
"May 21, 2018","0.679","0.713","0.718","0.677","-5.30%"
"May 20, 2018","0.717","0.717","0.717","0.717","-0.83%"
"May 18, 2018","0.723","0.773","0.779","0.717","-7.07%"
"May 17, 2018","0.778","0.780","0.783","0.742","3.18%"
"May 16, 2018","0.754","0.764","0.772","0.732","-2.84%"
"May 15, 2018","0.776","0.763","0.783","0.751","3.60%"
"May 14, 2018","0.749","0.711","0.754","0.711","6.85%"
"May 11, 2018","0.701","0.693","0.710","0.685","-0.14%"
"May 10, 2018","0.702","0.703","0.714","0.677","-0.85%"
"May 09, 2018","0.708","0.719","0.734","0.705","-0.42%"
"May 08, 2018","0.711","0.686","0.715","0.681","5.18%"
"May 07, 2018","0.676","0.684","0.690","0.668","-2.45%"
"May 04, 2018","0.693","0.679","0.695","0.670","2.97%"
"May 03, 2018","0.673","0.733","0.733","0.668","-6.79%"
"May 02, 2018","0.722","0.718","0.729","0.709","3.74%"
"May 01, 2018","0.696","0.710","0.710","0.696","-0.57%"
"Apr 30, 2018","0.700","0.725","0.731","0.698","-1.69%"
"Apr 27, 2018","0.712","0.709","0.727","0.702","-2.73%"
"Apr 26, 2018","0.732","0.764","0.766","0.724","-4.94%"
"Apr 25, 2018","0.770","0.792","0.796","0.770","-0.26%"
"Apr 24, 2018","0.772","0.756","0.796","0.750","0.00%"
"Apr 23, 2018","0.772","0.770","0.778","0.760","5.03%"
"Apr 21, 2018","0.735","0.735","0.735","0.735","-0.14%"
"Apr 20, 2018","0.736","0.733","0.753","0.730","-0.81%"
"Apr 19, 2018","0.742","0.691","0.743","0.689","10.91%"
"Apr 18, 2018","0.669","0.652","0.673","0.637","2.61%"
"Apr 17, 2018","0.652","0.674","0.681","0.649","-2.54%"
"Apr 16, 2018","0.669","0.670","0.690","0.664","2.29%"
"Apr 14, 2018","0.654","0.653","0.655","0.653","0.15%"
"Apr 13, 2018","0.653","0.662","0.682","0.650","-1.36%"
"Apr 12, 2018","0.662","0.647","0.664","0.644","2.16%"
"Apr 11, 2018","0.648","0.660","0.668","0.636","-2.85%"
"Apr 10, 2018","0.667","0.652","0.682","0.640","1.21%"
"Apr 09, 2018","0.659","0.656","0.664","0.647","1.70%"
"Apr 06, 2018","0.648","0.659","0.669","0.643","-3.71%"
"Apr 05, 2018","0.673","0.664","0.685","0.658","4.18%"
"Apr 04, 2018","0.646","0.648","0.653","0.627","-0.62%"
"Apr 03, 2018","0.650","0.642","0.664","0.637","1.25%"
"Apr 02, 2018","0.642","0.642","0.642","0.642","0.00%"
"Mar 30, 2018","0.642","0.638","0.643","0.638","0.31%"
"Mar 29, 2018","0.640","0.658","0.663","0.636","-1.99%"
"Mar 28, 2018","0.653","0.646","0.658","0.625","-0.15%"
"Mar 27, 2018","0.654","0.684","0.684","0.653","-3.40%"
"Mar 26, 2018","0.677","0.687","0.700","0.676","-0.44%"
"Mar 24, 2018","0.680","0.676","0.680","0.676","-0.29%"
"Mar 23, 2018","0.682","0.683","0.703","0.673","-0.73%"
"Mar 22, 2018","0.687","0.724","0.733","0.674","-8.28%"
"Mar 21, 2018","0.749","0.745","0.764","0.741","1.63%"
"Mar 20, 2018","0.737","0.747","0.754","0.736","1.52%"
"Mar 19, 2018","0.726","0.743","0.770","0.726","-1.63%"
"Mar 17, 2018","0.738","0.734","0.738","0.734","0.41%"
"Mar 16, 2018","0.735","0.732","0.750","0.723","-0.81%"
"Mar 15, 2018","0.741","0.762","0.762","0.731","15.96%"
"Mar 14, 2018","0.639","0.661","0.677","0.629","-3.47%"
"Mar 13, 2018","0.662","0.677","0.681","0.652","-1.49%"
"Mar 12, 2018","0.672","0.691","0.697","0.665","-1.03%"
"Mar 10, 2018","0.679","0.679","0.679","0.679","-1.16%"
"Mar 09, 2018","0.687","0.683","0.699","0.668","2.84%"
"Mar 08, 2018","0.668","0.696","0.743","0.668","-4.43%"
"Mar 07, 2018","0.699","0.709","0.721","0.690","-2.51%"
"Mar 06, 2018","0.717","0.696","0.746","0.687","3.76%"
"Mar 05, 2018","0.691","0.653","0.693","0.652","0.29%"
"Mar 03, 2018","0.689","0.689","0.689","0.689","-1.43%"
"Mar 02, 2018","0.699","0.669","0.699","0.653","1.16%"
"Mar 01, 2018","0.691","0.699","0.700","0.664","-1.43%"
"Feb 28, 2018","0.701","0.728","0.730","0.700","-3.04%"
"Feb 27, 2018","0.723","0.709","0.733","0.702","2.70%"
"Feb 26, 2018","0.704","0.709","0.728","0.692","-0.42%"
"Feb 23, 2018","0.707","0.745","0.745","0.703","-6.73%"
"Feb 22, 2018","0.758","0.787","0.793","0.751","-2.57%"
"Feb 21, 2018","0.778","0.771","0.788","0.751","-1.52%"
"Feb 20, 2018","0.790","0.812","0.816","0.769","0.25%"
"Feb 19, 2018","0.788","0.774","0.798","0.767","4.10%"
"Feb 18, 2018","0.757","0.757","0.757","0.757","0.40%"
"Feb 16, 2018","0.754","0.807","0.807","0.749","-6.22%"
"Feb 15, 2018","0.804","0.793","0.833","0.791","1.13%"
"Feb 14, 2018","0.795","0.754","0.811","0.751","1.40%"
"Feb 13, 2018","0.784","0.770","0.787","0.746","0.26%"
"Feb 12, 2018","0.782","0.792","0.816","0.764","0.26%"
"Feb 09, 2018","0.780","0.785","0.799","0.743","-1.02%"
"Feb 08, 2018","0.788","0.761","0.829","0.761","1.68%"
"Feb 07, 2018","0.775","0.747","0.776","0.724","4.87%"
"Feb 06, 2018","0.739","0.750","0.758","0.708","-4.52%"
"Feb 05, 2018","0.774","0.796","0.801","0.757","-3.61%"
"Feb 02, 2018","0.803","0.770","0.805","0.766","6.22%"
"Feb 01, 2018","0.756","0.764","0.780","0.731","2.44%"
