"Date","Price","Open","High","Low","Change %"
"Jun 26, 2018","3.254","3.183","3.274","3.183","2.23%"
"Jun 25, 2018","3.183","3.180","3.225","3.153","-0.62%"
"Jun 24, 2018","3.203","3.203","3.203","3.203","0.00%"
"Jun 23, 2018","3.203","3.203","3.203","3.203","1.10%"
"Jun 22, 2018","3.168","3.176","3.214","3.150","-0.60%"
"Jun 21, 2018","3.187","3.203","3.210","3.132","0.57%"
"Jun 20, 2018","3.169","3.210","3.236","3.167","-0.75%"
"Jun 19, 2018","3.193","3.249","3.252","3.176","-0.59%"
"Jun 18, 2018","3.212","3.279","3.279","3.201","-2.04%"
"Jun 17, 2018","3.279","3.279","3.279","3.279","0.00%"
"Jun 16, 2018","3.279","3.279","3.279","3.279","1.23%"
"Jun 15, 2018","3.239","3.237","3.301","3.193","0.93%"
"Jun 14, 2018","3.209","3.294","3.308","3.207","-1.17%"
"Jun 13, 2018","3.247","3.262","3.337","3.217","-0.79%"
"Jun 12, 2018","3.273","3.285","3.335","3.237","-0.40%"
"Jun 11, 2018","3.286","3.333","3.344","3.267","-1.44%"
"Jun 10, 2018","3.334","3.334","3.334","3.334","0.00%"
"Jun 09, 2018","3.334","3.334","3.334","3.334","0.00%"
"Jun 08, 2018","3.334","3.340","3.379","3.296","1.31%"
"Jun 07, 2018","3.291","3.274","3.348","3.267","1.61%"
"Jun 06, 2018","3.239","3.242","3.297","3.220","0.62%"
"Jun 05, 2018","3.219","3.206","3.265","3.188","0.44%"
"Jun 04, 2018","3.205","3.216","3.241","3.182","-1.41%"
"Jun 03, 2018","3.251","3.251","3.251","3.251","0.00%"
"Jun 02, 2018","3.251","3.251","3.251","3.251","0.56%"
"Jun 01, 2018","3.233","3.269","3.310","3.195","-1.28%"
"May 31, 2018","3.275","3.275","3.275","3.275","0.00%"
"May 30, 2018","3.275","3.303","3.371","3.240","-0.67%"
"May 29, 2018","3.297","3.230","3.314","3.212","2.68%"
"May 28, 2018","3.211","3.237","3.247","3.198","-0.80%"
"May 27, 2018","3.237","3.237","3.237","3.237","0.00%"
"May 26, 2018","3.237","3.199","3.237","3.199","1.19%"
"May 25, 2018","3.199","3.254","3.254","3.187","-0.37%"
"May 24, 2018","3.211","3.225","3.251","3.190","-0.50%"
"May 23, 2018","3.227","3.269","3.291","3.219","-0.59%"
"May 22, 2018","3.246","3.352","3.355","3.231","-2.43%"
"May 21, 2018","3.327","3.330","3.390","3.311","-1.16%"
"May 20, 2018","3.366","3.366","3.366","3.366","0.00%"
"May 19, 2018","3.366","3.330","3.366","3.330","1.08%"
"May 18, 2018","3.330","3.378","3.378","3.267","0.42%"
"May 17, 2018","3.316","3.282","3.325","3.272","1.50%"
"May 16, 2018","3.267","3.278","3.321","3.250","-0.55%"
"May 15, 2018","3.285","3.272","3.313","3.242","1.58%"
"May 14, 2018","3.234","3.270","3.288","3.230","0.68%"
"May 12, 2018","3.212","3.223","3.223","3.212","-0.34%"
"May 11, 2018","3.223","3.250","3.293","3.164","-0.34%"
"May 10, 2018","3.234","3.264","3.292","3.222","-0.92%"
"May 09, 2018","3.264","3.268","3.360","3.246","0.21%"
"May 08, 2018","3.257","3.136","3.283","3.125","3.73%"
"May 07, 2018","3.140","3.223","3.233","3.124","-0.73%"
"May 06, 2018","3.163","3.163","3.163","3.163","0.00%"
"May 05, 2018","3.163","3.163","3.163","3.163","0.16%"
"May 04, 2018","3.158","3.147","3.179","3.118","-0.28%"
"May 03, 2018","3.167","3.174","3.174","3.167","-0.19%"
"May 02, 2018","3.173","3.089","3.220","3.071","3.15%"
"May 01, 2018","3.076","3.077","3.078","3.074","0.00%"
"Apr 30, 2018","3.076","3.070","3.151","3.040","1.18%"
"Apr 29, 2018","3.040","3.040","3.040","3.040","0.00%"
"Apr 28, 2018","3.040","3.034","3.040","3.034","0.20%"
"Apr 27, 2018","3.034","3.076","3.144","3.011","-0.56%"
"Apr 26, 2018","3.051","3.103","3.166","3.039","-1.64%"
"Apr 25, 2018","3.102","3.159","3.225","3.096","0.29%"
"Apr 24, 2018","3.093","3.094","3.136","3.041","0.13%"
"Apr 23, 2018","3.089","3.068","3.164","3.068","-0.87%"
"Apr 22, 2018","3.116","3.116","3.116","3.116","0.00%"
"Apr 21, 2018","3.116","3.100","3.116","3.100","0.52%"
"Apr 20, 2018","3.100","3.040","3.116","3.040","1.77%"
