"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Jun 26, 2018,""1.862"",""1.849"",""1.865"",""1.832"",""1.64%"""
"Jun 25, 2018,""1.832"",""1.834"",""1.845"",""1.814"",""0.83%"""
"Jun 23, 2018,""1.817"",""1.817"",""1.817"",""1.817"",""-0.22%"""
"Jun 22, 2018,""1.821"",""1.841"",""1.842"",""1.802"",""-1.14%"""
"Jun 21, 2018,""1.842"",""1.752"",""1.843"",""1.745"",""5.08%"""
"Jun 20, 2018,""1.753"",""1.732"",""1.755"",""1.721"",""0.75%"""
"Jun 19, 2018,""1.740"",""1.750"",""1.771"",""1.706"",""-0.34%"""
"Jun 18, 2018,""1.746"",""1.818"",""1.823"",""1.743"",""-3.91%"""
"Jun 17, 2018,""1.817"",""1.817"",""1.817"",""1.817"",""0.61%"""
"Jun 16, 2018,""1.806"",""1.817"",""1.817"",""1.806"",""-0.55%"""
"Jun 15, 2018,""1.816"",""1.901"",""1.901"",""1.799"",""-5.12%"""
"Jun 14, 2018,""1.914"",""1.969"",""2.000"",""1.900"",""-1.34%"""
"Jun 13, 2018,""1.940"",""1.986"",""1.988"",""1.928"",""-3.15%"""
"Jun 12, 2018,""2.003"",""1.971"",""2.004"",""1.960"",""1.11%"""
"Jun 11, 2018,""1.981"",""1.961"",""2.013"",""1.952"",""-2.84%"""
"Jun 09, 2018,""2.039"",""2.039"",""2.039"",""2.039"",""-0.44%"""
"Jun 08, 2018,""2.048"",""2.030"",""2.066"",""1.997"",""2.35%"""
"Jun 07, 2018,""2.001"",""1.929"",""2.002"",""1.902"",""3.41%"""
"Jun 06, 2018,""1.935"",""1.883"",""1.937"",""1.868"",""6.14%"""
"Jun 05, 2018,""1.823"",""1.815"",""1.839"",""1.750"",""3.23%"""
"Jun 04, 2018,""1.766"",""1.802"",""1.824"",""1.712"",""-5.10%"""
"Jun 03, 2018,""1.861"",""1.861"",""1.861"",""1.861"",""-1.74%"""
"Jun 01, 2018,""1.894"",""1.919"",""1.921"",""1.811"",""-3.56%"""
"May 31, 2018,""1.964"",""2.025"",""2.048"",""1.956"",""-8.82%"""
"May 30, 2018,""2.154"",""2.175"",""2.188"",""2.087"",""-1.15%"""
"May 29, 2018,""2.179"",""2.317"",""2.369"",""2.161"",""5.98%"""
"May 28, 2018,""2.056"",""1.868"",""2.164"",""1.865"",""6.25%"""
"May 27, 2018,""1.935"",""1.970"",""1.970"",""1.935"",""0.00%"""
"May 25, 2018,""1.935"",""1.937"",""2.003"",""1.881"",""2.22%"""
"May 24, 2018,""1.893"",""1.918"",""1.965"",""1.878"",""-2.62%"""
"May 23, 2018,""1.944"",""1.961"",""2.014"",""1.933"",""-0.36%"""
"May 22, 2018,""1.951"",""1.958"",""1.982"",""1.903"",""-3.70%"""
"May 21, 2018,""2.026"",""1.906"",""2.018"",""1.896"",""9.28%"""
"May 20, 2018,""1.854"",""1.873"",""1.873"",""1.854"",""0.11%"""
"May 18, 2018,""1.852"",""1.831"",""1.871"",""1.805"",""3.00%"""
"May 17, 2018,""1.798"",""1.785"",""1.823"",""1.771"",""0.62%"""
"May 16, 2018,""1.787"",""1.740"",""1.806"",""1.739"",""2.94%"""
"May 15, 2018,""1.736"",""1.712"",""1.741"",""1.689"",""2.30%"""
"May 14, 2018,""1.697"",""1.692"",""1.710"",""1.684"",""1.07%"""
"May 13, 2018,""1.679"",""1.679"",""1.679"",""1.679"",""-0.77%"""
"May 11, 2018,""1.692"",""1.696"",""1.701"",""1.666"",""-1.91%"""
"May 10, 2018,""1.725"",""1.745"",""1.745"",""1.694"",""0.82%"""
"May 09, 2018,""1.711"",""1.723"",""1.737"",""1.693"",""-1.33%"""
"May 08, 2018,""1.734"",""1.691"",""1.739"",""1.690"",""4.27%"""
"May 07, 2018,""1.663"",""1.673"",""1.692"",""1.659"",""-1.42%"""
"May 04, 2018,""1.687"",""1.630"",""1.699"",""1.620"",""2.43%"""
"May 03, 2018,""1.647"",""1.700"",""1.700"",""1.639"",""-1.67%"""
"May 02, 2018,""1.675"",""1.655"",""1.674"",""1.642"",""0.12%"""
"May 01, 2018,""1.673"",""1.662"",""1.673"",""1.662"",""0.72%"""
"Apr 30, 2018,""1.661"",""1.660"",""1.688"",""1.644"",""1.22%"""
"Apr 27, 2018,""1.641"",""1.674"",""1.692"",""1.639"",""-2.26%"""
"Apr 26, 2018,""1.679"",""1.691"",""1.696"",""1.667"",""-2.04%"""
"Apr 25, 2018,""1.714"",""1.674"",""1.719"",""1.655"",""1.96%"""
"Apr 24, 2018,""1.681"",""1.678"",""1.705"",""1.675"",""-0.53%"""
"Apr 23, 2018,""1.690"",""1.663"",""1.697"",""1.660"",""2.67%"""
"Apr 20, 2018,""1.646"",""1.661"",""1.673"",""1.642"",""-0.54%"""
"Apr 19, 2018,""1.655"",""1.621"",""1.656"",""1.617"",""3.24%"""
"Apr 18, 2018,""1.603"",""1.596"",""1.622"",""1.591"",""-0.93%"""
"Apr 17, 2018,""1.618"",""1.634"",""1.644"",""1.605"",""-1.76%"""
"Apr 16, 2018,""1.647"",""1.651"",""1.679"",""1.640"",""-0.42%"""
"Apr 14, 2018,""1.654"",""1.681"",""1.681"",""1.654"",""-0.18%"""
"Apr 13, 2018,""1.657"",""1.700"",""1.712"",""1.654"",""-2.07%"""
"Apr 12, 2018,""1.692"",""1.695"",""1.703"",""1.668"",""0.18%"""
"Apr 11, 2018,""1.689"",""1.702"",""1.735"",""1.681"",""-1.57%"""
"Apr 10, 2018,""1.716"",""1.683"",""1.725"",""1.676"",""2.08%"""
"Apr 09, 2018,""1.681"",""1.674"",""1.701"",""1.673"",""-0.41%"""
"Apr 06, 2018,""1.688"",""1.651"",""1.692"",""1.650"",""1.99%"""
"Apr 05, 2018,""1.655"",""1.619"",""1.667"",""1.607"",""1.91%"""
"Apr 04, 2018,""1.624"",""1.643"",""1.647"",""1.603"",""-0.31%"""
"Apr 03, 2018,""1.629"",""1.619"",""1.644"",""1.618"",""1.31%"""
"Mar 30, 2018,""1.608"",""1.620"",""1.620"",""1.608"",""0.00%"""
"Mar 29, 2018,""1.608"",""1.644"",""1.646"",""1.604"",""-2.43%"""
"Mar 28, 2018,""1.648"",""1.652"",""1.674"",""1.635"",""-0.54%"""
"Mar 27, 2018,""1.657"",""1.703"",""1.703"",""1.644"",""-3.04%"""
"Mar 26, 2018,""1.709"",""1.735"",""1.745"",""1.709"",""-0.75%"""
"Mar 24, 2018,""1.722"",""1.752"",""1.752"",""1.722"",""-0.12%"""
"Mar 23, 2018,""1.724"",""1.740"",""1.780"",""1.713"",""-1.88%"""
"Mar 22, 2018,""1.757"",""1.729"",""1.774"",""1.726"",""0.11%"""
"Mar 21, 2018,""1.755"",""1.725"",""1.770"",""1.722"",""1.62%"""
"Mar 20, 2018,""1.727"",""1.734"",""1.740"",""1.699"",""-0.17%"""
"Mar 19, 2018,""1.730"",""1.758"",""1.760"",""1.725"",""-1.48%"""
"Mar 16, 2018,""1.756"",""1.792"",""1.796"",""1.730"",""-1.95%"""
"Mar 15, 2018,""1.791"",""1.793"",""1.815"",""1.761"",""0.00%"""
"Mar 14, 2018,""1.791"",""1.797"",""1.828"",""1.788"",""-0.56%"""
"Mar 13, 2018,""1.801"",""1.809"",""1.821"",""1.780"",""-1.58%"""
"Mar 12, 2018,""1.830"",""1.862"",""1.867"",""1.819"",""-1.61%"""
"Mar 09, 2018,""1.860"",""1.831"",""1.866"",""1.824"",""2.48%"""
"Mar 08, 2018,""1.815"",""1.864"",""1.877"",""1.793"",""-2.16%"""
"Mar 07, 2018,""1.855"",""1.889"",""1.897"",""1.837"",""-3.39%"""
"Mar 06, 2018,""1.920"",""1.936"",""1.944"",""1.866"",""-1.64%"""
"Mar 05, 2018,""1.952"",""2.004"",""2.004"",""1.935"",""-0.61%"""
"Mar 02, 2018,""1.964"",""1.919"",""1.964"",""1.913"",""1.34%"""
"Mar 01, 2018,""1.938"",""1.986"",""1.995"",""1.936"",""-2.56%"""
"Feb 28, 2018,""1.989"",""2.002"",""2.022"",""1.983"",""-1.14%"""
"Feb 27, 2018,""2.012"",""1.977"",""2.021"",""1.976"",""0.85%"""
"Feb 26, 2018,""1.995"",""2.017"",""2.030"",""1.975"",""-1.97%"""
"Feb 23, 2018,""2.035"",""2.028"",""2.069"",""2.002"",""0.30%"""
"Feb 22, 2018,""2.029"",""1.996"",""2.050"",""1.973"",""1.40%"""
"Feb 21, 2018,""2.001"",""2.033"",""2.048"",""1.986"",""-2.72%"""
"Feb 20, 2018,""2.057"",""2.049"",""2.057"",""1.999"",""1.23%"""
"Feb 19, 2018,""2.032"",""2.017"",""2.058"",""2.010"",""0.40%"""
"Feb 18, 2018,""2.024"",""2.024"",""2.024"",""2.024"",""0.50%"""
"Feb 16, 2018,""2.014"",""2.039"",""2.039"",""2.005"",""-1.61%"""
"Feb 15, 2018,""2.047"",""2.062"",""2.086"",""2.033"",""-1.25%"""
"Feb 14, 2018,""2.073"",""2.097"",""2.108"",""2.059"",""-2.58%"""
"Feb 13, 2018,""2.128"",""2.059"",""2.135"",""2.048"",""2.70%"""
"Feb 12, 2018,""2.072"",""2.079"",""2.093"",""2.041"",""-0.29%"""
"Feb 09, 2018,""2.078"",""2.032"",""2.091"",""1.994"",""2.36%"""
"Feb 08, 2018,""2.030"",""2.020"",""2.052"",""1.991"",""0.94%"""
"Feb 07, 2018,""2.011"",""2.054"",""2.055"",""1.959"",""-2.52%"""
"Feb 06, 2018,""2.063"",""2.036"",""2.098"",""2.024"",""0.78%"""
"Feb 05, 2018,""2.047"",""2.014"",""2.056"",""1.959"",""2.56%"""
"Feb 02, 2018,""1.996"",""1.948"",""1.998"",""1.946"",""3.15%"""
"Feb 01, 2018,""1.935"",""1.962"",""1.970"",""1.913"",""-1.12%"""
"Jan 31, 2018,""1.957"",""1.932"",""1.964"",""1.926"",""0.26%"""
"Jan 30, 2018,""1.952"",""1.927"",""1.961"",""1.910"",""0.31%"""
"Jan 29, 2018,""1.946"",""1.949"",""1.982"",""1.942"",""0.31%"""
"Jan 26, 2018,""1.940"",""1.903"",""1.942"",""1.898"",""1.78%"""
"Jan 25, 2018,""1.906"",""1.883"",""1.940"",""1.862"",""13.32%"""
"Jan 24, 2018,""1.682"",""1.678"",""1.695"",""1.677"",""0.72%"""
"Jan 23, 2018,""1.670"",""1.683"",""1.687"",""1.637"",""-1.94%"""
"Jan 22, 2018,""1.703"",""1.719"",""1.763"",""1.703"",""-2.24%"""
"Jan 19, 2018,""1.742"",""1.801"",""1.801"",""1.730"",""-1.80%"""
"Jan 18, 2018,""1.774"",""1.786"",""1.791"",""1.762"",""-0.56%"""
"Jan 17, 2018,""1.784"",""1.798"",""1.804"",""1.776"",""0.17%"""
"Jan 16, 2018,""1.781"",""1.773"",""1.783"",""1.738"",""-0.67%"""
"Jan 15, 2018,""1.793"",""1.797"",""1.809"",""1.787"",""-0.50%"""
"Jan 12, 2018,""1.802"",""1.813"",""1.832"",""1.790"",""-1.31%"""
"Jan 11, 2018,""1.826"",""1.816"",""1.827"",""1.758"",""-0.87%"""
"Jan 10, 2018,""1.842"",""1.854"",""1.878"",""1.837"",""-0.22%"""
"Jan 09, 2018,""1.846"",""1.868"",""1.882"",""1.820"",""-0.70%"""
"Jan 08, 2018,""1.859"",""1.931"",""1.944"",""1.835"",""-3.13%"""
"Jan 07, 2018,""1.919"",""1.919"",""1.919"",""1.919"",""0.16%"""
"Jan 05, 2018,""1.916"",""1.928"",""1.930"",""1.866"",""0.52%"""
"Jan 04, 2018,""1.906"",""1.986"",""1.995"",""1.896"",""-3.93%"""
"Jan 03, 2018,""1.984"",""1.997"",""2.008"",""1.963"",""-0.40%"""
"Jan 02, 2018,""1.992"",""1.931"",""1.997"",""1.916"",""2.79%"""
"Jan 01, 2018,""1.938"",""1.946"",""1.946"",""1.930"",""0.31%"""
"Dec 29, 2017,""1.932"",""1.891"",""1.934"",""1.877"",""3.76%"""
"Dec 28, 2017,""1.862"",""1.831"",""1.863"",""1.812"",""2.08%"""
"Dec 27, 2017,""1.824"",""1.810"",""1.847"",""1.803"",""-0.55%"""
"Dec 26, 2017,""1.834"",""1.830"",""1.834"",""1.826"",""0.22%"""
"Dec 25, 2017,""1.830"",""1.826"",""1.830"",""1.826"",""-0.22%"""
"Dec 22, 2017,""1.834"",""1.787"",""1.866"",""1.781"",""3.97%"""
"Dec 21, 2017,""1.764"",""1.785"",""1.810"",""1.746"",""-1.01%"""
"Dec 20, 2017,""1.782"",""1.806"",""1.820"",""1.741"",""-0.11%"""
"Dec 19, 2017,""1.784"",""1.775"",""1.802"",""1.725"",""0.79%"""
"Dec 18, 2017,""1.770"",""1.717"",""1.782"",""1.717"",""-2.85%"""
