"Date","Price","Open","High","Low","Change %"
"Jun 26, 2018","5.380","5.140","5.380","5.100","8.53%"
"Jun 25, 2018","4.957","4.990","5.140","4.990","1.10%"
"Jun 22, 2018","4.903","5.010","5.120","4.990","1.79%"
"Jun 21, 2018","4.817","5.030","5.040","4.990","-0.06%"
"Jun 20, 2018","4.820","5.010","5.030","4.990","0.00%"
"Jun 19, 2018","4.820","5.010","5.020","4.990","0.00%"
"Jun 18, 2018","4.820","5.010","5.010","4.990","-0.06%"
"Jun 15, 2018","4.823","5.020","5.020","4.990","0.42%"
"Jun 14, 2018","4.803","5.010","5.020","4.870","-0.50%"
"Jun 13, 2018","4.827","5.010","5.010","4.990","0.42%"
"Jun 12, 2018","4.807","4.990","5.010","4.990","-0.41%"
"Jun 11, 2018","4.827","4.950","5.020","4.950","-2.48%"
"Jun 09, 2018","4.950","4.950","4.950","4.950","2.55%"
"Jun 08, 2018","4.827","5.020","5.020","5.000","0.00%"
"Jun 07, 2018","4.827","4.990","5.030","4.950","0.21%"
"Jun 06, 2018","4.817","5.010","5.010","4.950","-0.12%"
"Jun 05, 2018","4.823","4.950","5.010","4.930","1.11%"
"Jun 04, 2018","4.770","4.940","4.960","4.860","0.63%"
"May 31, 2018","4.740","4.940","4.960","4.860","0.42%"
"May 30, 2018","4.720","4.880","4.940","4.860","0.92%"
"May 29, 2018","4.677","4.860","4.900","4.860","-3.57%"
"May 28, 2018","4.850","4.850","4.850","4.850","1.46%"
"May 25, 2018","4.780","4.880","4.930","4.840","-0.42%"
"May 24, 2018","4.800","4.920","4.940","4.840","1.05%"
"May 23, 2018","4.750","4.920","4.940","4.880","-1.86%"
"May 22, 2018","4.840","4.910","4.930","4.880","0.21%"
"May 21, 2018","4.830","4.900","4.930","4.840","-1.43%"
"May 20, 2018","4.900","4.900","4.900","4.900","0.41%"
"May 19, 2018","4.880","4.900","4.900","4.880","1.24%"
"May 18, 2018","4.820","4.900","4.920","4.750","-0.21%"
"May 17, 2018","4.830","4.810","4.910","4.750","3.80%"
"May 16, 2018","4.653","4.810","4.850","4.750","1.09%"
"May 15, 2018","4.603","4.800","4.810","4.630","-2.48%"
"May 14, 2018","4.720","4.790","4.820","4.630","-1.87%"
"May 13, 2018","4.810","4.810","4.810","4.810","0.63%"
"May 12, 2018","4.780","4.780","4.780","4.780","1.49%"
"May 11, 2018","4.710","4.810","4.820","4.750","-0.42%"
"May 10, 2018","4.730","4.800","4.841","4.750","0.21%"
"May 09, 2018","4.720","4.770","4.840","4.750","-0.63%"
"May 08, 2018","4.750","4.730","4.830","4.640","2.37%"
"May 07, 2018","4.640","4.660","4.730","4.640","-1.49%"
"May 06, 2018","4.710","4.710","4.710","4.710","0.86%"
"May 05, 2018","4.670","4.670","4.670","4.670","1.97%"
"May 04, 2018","4.580","4.610","4.710","4.610","-0.22%"
