"Date","Price","Open","High","Low","Change %"
"Jun 26, 2018","0.70","0.71","0.73","0.67","2.95%"
"Jun 25, 2018","0.68","0.70","0.72","0.66","-4.37%"
"Jun 22, 2018","0.71","0.70","0.73","0.68","1.43%"
"Jun 21, 2018","0.70","0.72","0.73","0.67","-4.11%"
"Jun 20, 2018","0.73","0.71","0.73","0.69","0.00%"
"Jun 19, 2018","0.73","0.69","0.73","0.68","-1.35%"
"Jun 18, 2018","0.74","0.72","0.76","0.71","-3.52%"
"Jun 17, 2018","0.77","0.77","0.77","0.77","0.00%"
"Jun 16, 2018","0.77","0.77","0.77","0.77","0.92%"
"Jun 15, 2018","0.76","0.74","0.77","0.72","-1.30%"
"Jun 14, 2018","0.77","0.83","0.85","0.76","-4.94%"
"Jun 13, 2018","0.81","0.83","0.84","0.79","0.00%"
"Jun 12, 2018","0.81","0.85","0.86","0.81","-2.41%"
"Jun 11, 2018","0.83","0.81","0.85","0.80","2.47%"
"Jun 08, 2018","0.81","0.81","0.84","0.77","-2.41%"
"Jun 07, 2018","0.83","0.83","0.85","0.80","2.47%"
"Jun 06, 2018","0.81","0.81","0.83","0.75","10.96%"
"Jun 05, 2018","0.73","0.77","0.80","0.71","0.00%"
"Jun 04, 2018","0.73","0.76","0.78","0.72","0.00%"
"Jun 01, 2018","0.73","0.74","0.76","0.71","1.39%"
"May 31, 2018","0.72","0.76","0.78","0.71","-1.37%"
"May 30, 2018","0.73","0.72","0.81","0.70","4.29%"
"May 29, 2018","0.70","0.67","0.77","0.61","0.00%"
"May 28, 2018","0.70","0.75","0.79","0.68","-5.41%"
"May 25, 2018","0.74","0.71","0.80","0.71","-3.90%"
"May 24, 2018","0.77","0.78","0.81","0.72","-1.28%"
"May 23, 2018","0.78","0.77","0.81","0.74","-3.70%"
"May 22, 2018","0.81","0.80","0.84","0.77","2.53%"
"May 21, 2018","0.79","0.82","0.84","0.77","0.00%"
"May 20, 2018","0.79","0.82","0.82","0.79","-4.15%"
"May 18, 2018","0.82","0.82","0.87","0.80","-3.53%"
"May 17, 2018","0.85","0.83","0.87","0.80","2.41%"
"May 16, 2018","0.83","0.82","0.85","0.79","1.22%"
"May 15, 2018","0.82","0.84","0.89","0.80","2.50%"
"May 14, 2018","0.80","0.79","0.83","0.77","3.90%"
"May 11, 2018","0.77","0.76","0.82","0.76","0.00%"
"May 10, 2018","0.77","0.77","0.81","0.75","-3.75%"
"May 09, 2018","0.80","0.80","0.82","0.77","2.17%"
"May 08, 2018","0.78","0.78","0.80","0.75","0.00%"
"May 07, 2018","0.78","0.75","0.78","0.74","1.30%"
"May 04, 2018","0.77","0.76","0.79","0.74","1.32%"
"May 03, 2018","0.76","0.81","0.81","0.75","-3.80%"
"May 02, 2018","0.79","0.81","0.82","0.78","0.00%"
"May 01, 2018","0.79","0.77","0.80","0.77","1.79%"
"Apr 30, 2018","0.78","0.82","0.83","0.78","-1.27%"
"Apr 27, 2018","0.79","0.81","0.82","0.78","-2.47%"
"Apr 26, 2018","0.81","0.83","0.86","0.80","-1.22%"
"Apr 25, 2018","0.82","0.86","0.88","0.81","0.00%"
"Apr 24, 2018","0.82","0.83","0.86","0.81","0.00%"
"Apr 23, 2018","0.82","0.85","0.88","0.81","0.00%"
"Apr 20, 2018","0.82","0.81","0.84","0.79","-1.20%"
"Apr 19, 2018","0.83","0.79","0.83","0.77","6.41%"
"Apr 18, 2018","0.78","0.76","0.79","0.73","4.00%"
"Apr 17, 2018","0.75","0.77","0.82","0.74","-3.85%"
"Apr 16, 2018","0.78","0.77","0.81","0.76","3.86%"
"Apr 14, 2018","0.75","0.76","0.76","0.75","-2.47%"
"Apr 13, 2018","0.77","0.75","0.79","0.75","0.00%"
"Apr 12, 2018","0.77","0.73","0.82","0.73","0.00%"
"Apr 11, 2018","0.77","0.74","0.81","0.72","-3.75%"
"Apr 10, 2018","0.80","0.78","0.82","0.73","6.67%"
"Apr 09, 2018","0.75","0.75","0.79","0.73","0.00%"
"Apr 06, 2018","0.75","0.76","0.80","0.74","-5.06%"
"Apr 05, 2018","0.79","0.77","0.81","0.76","1.28%"
"Apr 04, 2018","0.78","0.75","0.80","0.73","0.00%"
"Apr 03, 2018","0.78","0.76","0.82","0.74","2.90%"
"Apr 02, 2018","0.76","0.75","0.79","0.75","-3.56%"
"Mar 30, 2018","0.79","0.77","0.80","0.75","0.77%"
"Mar 29, 2018","0.78","0.76","0.80","0.75","-1.27%"
"Mar 28, 2018","0.79","0.79","0.80","0.74","2.60%"
"Mar 27, 2018","0.77","0.82","0.84","0.76","-2.53%"
"Mar 26, 2018","0.79","0.82","0.85","0.77","-1.37%"
"Mar 24, 2018","0.80","0.80","0.80","0.80","-2.32%"
"Mar 23, 2018","0.82","0.83","0.85","0.78","1.23%"
"Mar 22, 2018","0.81","0.83","0.88","0.78","-3.57%"
"Mar 21, 2018","0.84","0.83","0.89","0.81","0.00%"
"Mar 20, 2018","0.84","0.83","0.84","0.82","1.20%"
"Mar 19, 2018","0.83","0.79","0.86","0.79","2.47%"
"Mar 16, 2018","0.81","0.83","0.85","0.78","0.00%"
