"Date","Price","Open","High","Low","Change %"
"Jun 26, 2018","1.054","1.060","1.086","1.043","0.00%"
"Jun 25, 2018","1.054","1.056","1.073","1.030","-0.85%"
"Jun 22, 2018","1.063","1.079","1.090","1.049","-2.03%"
"Jun 21, 2018","1.085","1.095","1.108","1.066","-1.00%"
"Jun 20, 2018","1.096","1.112","1.123","1.087","-0.45%"
"Jun 19, 2018","1.101","1.098","1.111","1.087","-2.91%"
"Jun 18, 2018","1.134","1.122","1.140","1.109","-0.61%"
"Jun 17, 2018","1.141","1.141","1.141","1.141","0.00%"
"Jun 16, 2018","1.141","1.141","1.141","1.141","0.44%"
"Jun 15, 2018","1.136","1.105","1.136","1.096","-5.33%"
"Jun 14, 2018","1.200","1.193","1.208","1.187","0.59%"
"Jun 13, 2018","1.193","1.198","1.204","1.179","-1.81%"
"Jun 12, 2018","1.215","1.213","1.233","1.202","0.66%"
"Jun 11, 2018","1.207","1.212","1.212","1.202","1.34%"
"Jun 08, 2018","1.191","1.206","1.209","1.171","-3.48%"
"Jun 07, 2018","1.234","1.217","1.234","1.214","1.82%"
"Jun 06, 2018","1.212","1.176","1.215","1.176","3.41%"
"Jun 05, 2018","1.172","1.173","1.184","1.163","-0.34%"
"Jun 04, 2018","1.176","1.185","1.217","1.165","-0.76%"
"Jun 01, 2018","1.185","1.180","1.210","1.156","1.80%"
"May 31, 2018","1.164","1.174","1.210","1.157","-0.09%"
"May 30, 2018","1.165","1.154","1.203","1.141","-5.74%"
"May 29, 2018","1.236","1.153","1.277","1.108","7.29%"
"May 28, 2018","1.152","1.141","1.152","1.117","0.96%"
"May 25, 2018","1.141","1.141","1.141","1.122","0.97%"
"May 24, 2018","1.130","1.129","1.142","1.116","1.16%"
"May 23, 2018","1.117","1.104","1.135","1.097","-0.53%"
"May 22, 2018","1.123","1.107","1.128","1.107","0.81%"
"May 21, 2018","1.114","1.117","1.121","1.111","0.00%"
"May 20, 2018","1.114","1.114","1.114","1.114","-1.85%"
"May 18, 2018","1.135","1.132","1.146","1.114","1.98%"
"May 17, 2018","1.113","1.128","1.145","1.113","0.00%"
"May 16, 2018","1.113","1.092","1.118","1.086","6.71%"
"May 15, 2018","1.043","1.089","1.099","1.043","0.00%"
"May 14, 2018","1.043","1.077","1.085","1.043","0.00%"
"May 12, 2018","1.043","1.043","1.043","1.043","0.00%"
"May 11, 2018","1.043","1.055","1.064","1.043","-1.51%"
"May 10, 2018","1.059","1.049","1.074","1.045","0.00%"
"May 09, 2018","1.059","1.083","1.091","1.059","0.00%"
"May 08, 2018","1.059","1.045","1.073","1.045","-0.94%"
"May 07, 2018","1.069","1.071","1.071","1.055","-0.28%"
"May 04, 2018","1.072","1.071","1.077","1.057","-1.83%"
"May 03, 2018","1.092","1.120","1.120","1.081","-2.24%"
"May 02, 2018","1.117","1.121","1.153","1.102","-0.36%"
"May 01, 2018","1.121","1.118","1.121","1.118","-3.53%"
"Apr 30, 2018","1.162","1.125","1.162","1.100","0.00%"
"Apr 29, 2018","1.162","1.162","1.162","1.162","0.00%"
"Apr 28, 2018","1.162","1.162","1.162","1.162","4.03%"
"Apr 27, 2018","1.117","1.162","1.162","1.099","-3.87%"
"Apr 26, 2018","1.162","1.153","1.162","1.128","-0.09%"
"Apr 25, 2018","1.163","1.158","1.170","1.141","0.61%"
"Apr 24, 2018","1.156","1.123","1.166","1.101","0.00%"
"Apr 23, 2018","1.156","1.130","1.164","1.127","3.86%"
"Apr 21, 2018","1.113","1.113","1.113","1.113","-1.24%"
"Apr 20, 2018","1.127","1.106","1.140","1.106","6.42%"
"Apr 19, 2018","1.059","1.103","1.112","1.059","0.00%"
"Apr 18, 2018","1.059","1.056","1.092","1.047","-1.58%"
"Apr 17, 2018","1.076","1.052","1.079","1.051","-0.19%"
"Apr 16, 2018","1.078","1.074","1.081","1.066","1.70%"
"Apr 14, 2018","1.060","1.060","1.060","1.060","0.38%"
"Apr 13, 2018","1.056","1.061","1.066","1.021","3.43%"
"Apr 12, 2018","1.021","1.012","1.053","1.009","1.19%"
"Apr 11, 2018","1.009","1.008","1.031","1.005","0.40%"
"Apr 10, 2018","1.005","1.018","1.023","1.002","-0.50%"
"Apr 09, 2018","1.010","1.004","1.025","1.002","0.50%"
"Apr 06, 2018","1.005","0.998","1.028","0.998","3.29%"
"Apr 05, 2018","0.973","0.998","1.016","0.973","0.00%"
"Apr 04, 2018","0.973","0.981","0.983","0.969","-1.12%"
"Apr 03, 2018","0.984","0.981","0.993","0.967","-1.30%"
"Apr 02, 2018","0.997","0.997","0.997","0.997","1.32%"
"Mar 31, 2018","0.984","0.984","0.984","0.984","-1.30%"
"Mar 30, 2018","0.997","0.984","0.997","0.984","1.32%"
"Mar 29, 2018","0.984","0.987","0.995","0.966","0.51%"
"Mar 28, 2018","0.979","1.010","1.012","0.972","-8.50%"
"Mar 27, 2018","1.070","1.087","1.096","1.061","-3.17%"
"Mar 26, 2018","1.105","1.107","1.116","1.100","0.36%"
"Mar 23, 2018","1.101","1.103","1.114","1.095","-2.13%"
"Mar 22, 2018","1.125","1.171","1.171","1.125","-4.82%"
"Mar 21, 2018","1.182","1.183","1.196","1.169","0.00%"
"Mar 20, 2018","1.182","1.202","1.204","1.180","-2.72%"
"Mar 19, 2018","1.215","1.201","1.219","1.196","-2.57%"
