"Date","Price","Open","High","Low","Change %"
"Jun 26, 2018","1.392","1.376","1.393","1.354","1.98%"
"Jun 25, 2018","1.365","1.372","1.381","1.355","-0.15%"
"Jun 22, 2018","1.367","1.344","1.378","1.322","1.41%"
"Jun 21, 2018","1.348","1.259","1.350","1.257","7.24%"
"Jun 20, 2018","1.257","1.247","1.258","1.237","0.96%"
"Jun 19, 2018","1.245","1.267","1.270","1.226","-1.58%"
"Jun 18, 2018","1.265","1.310","1.315","1.259","-3.14%"
"Jun 17, 2018","1.306","1.306","1.306","1.306","0.00%"
"Jun 16, 2018","1.306","1.306","1.306","1.306","0.23%"
"Jun 15, 2018","1.303","1.335","1.336","1.275","-4.54%"
"Jun 14, 2018","1.365","1.436","1.440","1.347","-3.81%"
"Jun 13, 2018","1.419","1.430","1.435","1.411","-1.80%"
"Jun 12, 2018","1.445","1.452","1.464","1.439","-0.62%"
"Jun 11, 2018","1.454","1.412","1.479","1.401","-1.36%"
"Jun 08, 2018","1.474","1.468","1.474","1.442","1.38%"
"Jun 07, 2018","1.454","1.503","1.511","1.440","-3.13%"
"Jun 06, 2018","1.501","1.412","1.515","1.411","7.99%"
"Jun 05, 2018","1.390","1.344","1.396","1.341","3.50%"
"Jun 04, 2018","1.343","1.391","1.392","1.328","-7.12%"
"Jun 01, 2018","1.446","1.441","1.463","1.333","-2.43%"
"May 31, 2018","1.482","1.532","1.537","1.474","-5.79%"
"May 30, 2018","1.573","1.626","1.674","1.521","-3.02%"
"May 29, 2018","1.622","1.586","1.662","1.545","6.64%"
"May 28, 2018","1.521","1.445","1.537","1.438","4.68%"
"May 25, 2018","1.453","1.417","1.520","1.366","4.38%"
"May 24, 2018","1.392","1.436","1.438","1.370","-2.04%"
"May 23, 2018","1.421","1.457","1.478","1.420","-1.93%"
"May 22, 2018","1.449","1.484","1.492","1.427","-4.42%"
"May 21, 2018","1.516","1.467","1.520","1.425","5.42%"
"May 20, 2018","1.438","1.438","1.438","1.438","0.07%"
"May 18, 2018","1.437","1.434","1.455","1.393","1.77%"
"May 17, 2018","1.412","1.408","1.439","1.381","0.14%"
"May 16, 2018","1.410","1.357","1.412","1.347","3.98%"
"May 15, 2018","1.356","1.333","1.356","1.304","2.26%"
"May 14, 2018","1.326","1.287","1.326","1.287","4.16%"
"May 11, 2018","1.273","1.296","1.301","1.272","-2.97%"
"May 10, 2018","1.312","1.328","1.328","1.292","0.38%"
"May 09, 2018","1.307","1.315","1.325","1.290","-0.53%"
"May 08, 2018","1.314","1.296","1.324","1.289","3.46%"
"May 07, 2018","1.270","1.281","1.293","1.258","-1.63%"
"May 04, 2018","1.291","1.240","1.298","1.230","3.61%"
"May 03, 2018","1.246","1.318","1.323","1.244","-4.67%"
"May 02, 2018","1.307","1.276","1.308","1.258","2.11%"
"May 01, 2018","1.280","1.279","1.280","1.278","0.16%"
"Apr 30, 2018","1.278","1.276","1.314","1.260","1.67%"
"Apr 27, 2018","1.257","1.270","1.277","1.239","-0.79%"
"Apr 26, 2018","1.267","1.291","1.294","1.263","-2.46%"
"Apr 25, 2018","1.299","1.298","1.314","1.283","0.00%"
"Apr 24, 2018","1.299","1.300","1.325","1.292","-0.92%"
"Apr 23, 2018","1.311","1.298","1.319","1.287","2.66%"
"Apr 20, 2018","1.277","1.283","1.306","1.272","-0.31%"
"Apr 19, 2018","1.281","1.233","1.283","1.233","5.52%"
"Apr 18, 2018","1.214","1.203","1.227","1.202","-0.57%"
"Apr 17, 2018","1.221","1.235","1.250","1.216","-1.45%"
"Apr 16, 2018","1.239","1.241","1.259","1.239","0.32%"
"Apr 14, 2018","1.235","1.237","1.237","1.235","0.16%"
"Apr 13, 2018","1.233","1.251","1.266","1.232","-1.44%"
"Apr 12, 2018","1.251","1.273","1.281","1.225","-1.11%"
"Apr 11, 2018","1.265","1.244","1.266","1.241","0.56%"
"Apr 10, 2018","1.258","1.239","1.265","1.232","2.03%"
"Apr 09, 2018","1.233","1.212","1.244","1.211","0.24%"
"Apr 06, 2018","1.230","1.216","1.263","1.214","0.33%"
"Apr 05, 2018","1.226","1.166","1.235","1.158","5.78%"
"Apr 04, 2018","1.159","1.193","1.195","1.158","-1.95%"
"Apr 03, 2018","1.182","1.166","1.191","1.166","1.90%"
"Mar 30, 2018","1.160","1.160","1.160","1.160","0.43%"
"Mar 29, 2018","1.155","1.209","1.211","1.154","-4.23%"
"Mar 28, 2018","1.206","1.230","1.249","1.202","-2.11%"
"Mar 27, 2018","1.232","1.249","1.250","1.215","-1.75%"
"Mar 26, 2018","1.254","1.267","1.278","1.237","-0.87%"
"Mar 24, 2018","1.265","1.275","1.275","1.265","0.08%"
"Mar 23, 2018","1.264","1.280","1.325","1.263","-2.09%"
"Mar 22, 2018","1.291","1.308","1.313","1.266","-3.08%"
"Mar 21, 2018","1.332","1.313","1.341","1.308","2.38%"
"Mar 20, 2018","1.301","1.340","1.340","1.296","-2.11%"
"Mar 19, 2018","1.329","1.373","1.380","1.329","-2.78%"
"Mar 16, 2018","1.367","1.374","1.374","1.344","-0.80%"
"Mar 15, 2018","1.378","1.394","1.409","1.357","-1.15%"
"Mar 14, 2018","1.394","1.393","1.423","1.388","0.14%"
"Mar 13, 2018","1.392","1.390","1.399","1.365","-0.36%"
