"Date","Price","Open","High","Low","Change %"
"Jun 26, 2018","1.300","1.314","1.324","1.295","0.62%"
"Jun 25, 2018","1.292","1.285","1.320","1.268","-2.27%"
"Jun 23, 2018","1.322","1.322","1.322","1.322","0.15%"
"Jun 22, 2018","1.320","1.289","1.321","1.288","3.37%"
"Jun 21, 2018","1.277","1.301","1.348","1.273","-1.69%"
"Jun 20, 2018","1.299","1.284","1.299","1.273","1.41%"
"Jun 19, 2018","1.281","1.264","1.286","1.257","-3.17%"
"Jun 18, 2018","1.323","1.324","1.331","1.297","-0.45%"
"Jun 16, 2018","1.329","1.329","1.329","1.329","0.23%"
"Jun 15, 2018","1.326","1.301","1.342","1.283","-0.67%"
"Jun 14, 2018","1.335","1.374","1.389","1.326","-2.41%"
"Jun 13, 2018","1.368","1.398","1.399","1.350","-2.29%"
"Jun 12, 2018","1.400","1.414","1.440","1.391","-0.43%"
"Jun 11, 2018","1.406","1.426","1.431","1.394","1.08%"
"Jun 09, 2018","1.391","1.391","1.391","1.391","0.14%"
"Jun 08, 2018","1.389","1.356","1.397","1.326","-0.71%"
"Jun 07, 2018","1.399","1.404","1.419","1.377","1.82%"
"Jun 06, 2018","1.374","1.311","1.383","1.310","6.93%"
"Jun 05, 2018","1.285","1.292","1.323","1.278","-0.93%"
"Jun 04, 2018","1.297","1.294","1.306","1.275","1.09%"
"Jun 01, 2018","1.283","1.277","1.305","1.253","4.39%"
"May 31, 2018","1.229","1.262","1.286","1.219","-2.23%"
"May 30, 2018","1.257","1.241","1.270","1.210","5.19%"
"May 29, 2018","1.195","1.254","1.285","1.107","-9.81%"
"May 28, 2018","1.325","1.325","1.325","1.325","0.00%"
"May 27, 2018","1.325","1.319","1.325","1.319","0.15%"
"May 25, 2018","1.323","1.387","1.392","1.300","-5.57%"
"May 24, 2018","1.401","1.448","1.459","1.387","-2.64%"
"May 23, 2018","1.439","1.476","1.483","1.431","-5.45%"
"May 22, 2018","1.522","1.491","1.532","1.486","3.12%"
"May 21, 2018","1.476","1.502","1.505","1.469","-1.67%"
"May 20, 2018","1.501","1.502","1.502","1.501","0.07%"
"May 18, 2018","1.500","1.558","1.558","1.497","-3.97%"
"May 17, 2018","1.562","1.541","1.565","1.518","3.93%"
"May 16, 2018","1.503","1.503","1.513","1.484","-0.99%"
"May 15, 2018","1.518","1.490","1.518","1.471","3.13%"
"May 14, 2018","1.472","1.447","1.490","1.447","2.15%"
"May 13, 2018","1.441","1.441","1.441","1.441","0.14%"
"May 11, 2018","1.439","1.422","1.451","1.417","0.63%"
"May 10, 2018","1.430","1.451","1.472","1.404","-1.99%"
"May 09, 2018","1.459","1.452","1.484","1.451","0.97%"
"May 08, 2018","1.445","1.398","1.447","1.384","3.29%"
"May 07, 2018","1.399","1.399","1.399","1.399","-0.07%"
"May 04, 2018","1.400","1.393","1.403","1.360","0.65%"
"May 03, 2018","1.391","1.462","1.479","1.377","-4.60%"
"May 02, 2018","1.458","1.422","1.467","1.421","3.62%"
"May 01, 2018","1.407","1.424","1.433","1.396","-0.78%"
"Apr 30, 2018","1.418","1.454","1.459","1.416","-1.94%"
"Apr 27, 2018","1.446","1.483","1.494","1.437","-3.98%"
"Apr 26, 2018","1.506","1.533","1.534","1.499","-2.27%"
"Apr 25, 2018","1.541","1.558","1.571","1.538","0.00%"
"Apr 24, 2018","1.541","1.511","1.563","1.503","0.26%"
"Apr 23, 2018","1.537","1.524","1.539","1.499","3.78%"
"Apr 20, 2018","1.481","1.457","1.505","1.457","-2.31%"
"Apr 19, 2018","1.516","1.436","1.524","1.436","7.06%"
"Apr 18, 2018","1.416","1.439","1.442","1.365","-1.46%"
"Apr 17, 2018","1.437","1.471","1.492","1.437","-1.84%"
"Apr 16, 2018","1.464","1.453","1.485","1.451","1.95%"
"Apr 13, 2018","1.436","1.453","1.477","1.432","-1.44%"
"Apr 12, 2018","1.457","1.386","1.457","1.385","4.97%"
"Apr 11, 2018","1.388","1.406","1.415","1.360","-1.35%"
"Apr 10, 2018","1.407","1.410","1.428","1.396","0.07%"
"Apr 09, 2018","1.406","1.404","1.419","1.397","0.79%"
"Apr 06, 2018","1.395","1.405","1.420","1.390","-1.62%"
"Apr 05, 2018","1.418","1.385","1.424","1.385","3.65%"
"Apr 04, 2018","1.368","1.352","1.374","1.332","0.66%"
"Apr 03, 2018","1.359","1.337","1.367","1.336","1.19%"
"Mar 30, 2018","1.343","1.344","1.344","1.343","-0.52%"
"Mar 29, 2018","1.350","1.373","1.375","1.349","-1.24%"
"Mar 28, 2018","1.367","1.395","1.401","1.359","-3.66%"
"Mar 27, 2018","1.419","1.452","1.455","1.413","-1.46%"
"Mar 26, 2018","1.440","1.461","1.474","1.439","-0.41%"
"Mar 23, 2018","1.446","1.428","1.479","1.410","0.49%"
"Mar 22, 2018","1.439","1.477","1.510","1.406","-5.89%"
"Mar 21, 2018","1.529","1.487","1.555","1.483","2.96%"
"Mar 20, 2018","1.485","1.476","1.489","1.446","2.77%"
"Mar 19, 2018","1.445","1.446","1.509","1.439","0.98%"
"Mar 16, 2018","1.431","1.429","1.449","1.414","-0.63%"
"Mar 15, 2018","1.440","1.439","1.450","1.423","0.07%"
"Mar 14, 2018","1.439","1.480","1.489","1.429","-3.29%"
"Mar 13, 2018","1.488","1.499","1.499","1.462","-0.60%"
"Mar 12, 2018","1.497","1.494","1.505","1.487","0.20%"
"Mar 09, 2018","1.494","1.499","1.508","1.479","1.36%"
"Mar 08, 2018","1.474","1.495","1.528","1.459","-1.34%"
"Mar 07, 2018","1.494","1.518","1.522","1.483","-1.84%"
"Mar 06, 2018","1.522","1.508","1.567","1.503","1.60%"
"Mar 05, 2018","1.498","1.432","1.498","1.432","1.70%"
"Mar 02, 2018","1.473","1.446","1.475","1.419","0.41%"
"Mar 01, 2018","1.467","1.500","1.502","1.443","-2.33%"
"Feb 28, 2018","1.502","1.554","1.560","1.501","-3.78%"
"Feb 27, 2018","1.561","1.511","1.567","1.496","3.31%"
"Feb 26, 2018","1.511","1.529","1.545","1.505","-0.79%"
"Feb 23, 2018","1.523","1.537","1.541","1.517","-1.68%"
"Feb 22, 2018","1.549","1.564","1.582","1.536","-0.45%"
"Feb 21, 2018","1.556","1.566","1.569","1.532","-1.95%"
"Feb 20, 2018","1.587","1.624","1.629","1.568","-1.06%"
"Feb 19, 2018","1.604","1.603","1.606","1.590","1.52%"
"Feb 18, 2018","1.580","1.580","1.580","1.580","-0.13%"
"Feb 16, 2018","1.582","1.652","1.652","1.568","-4.06%"
"Feb 15, 2018","1.649","1.655","1.691","1.639","0.49%"
"Feb 14, 2018","1.641","1.592","1.643","1.585","1.42%"
"Feb 13, 2018","1.618","1.593","1.624","1.575","1.06%"
"Feb 12, 2018","1.601","1.598","1.628","1.582","1.78%"
"Feb 09, 2018","1.573","1.618","1.627","1.551","-2.84%"
"Feb 08, 2018","1.619","1.544","1.655","1.539","4.32%"
"Feb 07, 2018","1.552","1.526","1.552","1.510","1.97%"
"Feb 06, 2018","1.522","1.526","1.541","1.485","-2.37%"
"Feb 05, 2018","1.559","1.569","1.584","1.549","-1.20%"
"Feb 02, 2018","1.578","1.552","1.609","1.550","2.87%"
"Feb 01, 2018","1.534","1.527","1.551","1.518","1.46%"
"Jan 31, 2018","1.512","1.459","1.514","1.449","3.42%"
"Jan 30, 2018","1.462","1.447","1.468","1.438","0.48%"
"Jan 29, 2018","1.455","1.462","1.471","1.446","0.76%"
"Jan 26, 2018","1.444","1.407","1.446","1.391","2.12%"
"Jan 25, 2018","1.414","1.403","1.437","1.391","0.43%"
"Jan 24, 2018","1.408","1.363","1.428","1.360","3.99%"
