Agency;Rating;Outlook;Date
Moody's;A1;positive;Apr 20 2018
Fitch;A+;positive;Sep 01 2017
Fitch;A+;stable;Dec 13 2011
Fitch;A+;positive;Nov 21 2011
S&P;AA-;stable;Aug 24 2011
S&P;A;positive;Aug 10 2010
Fitch;A+;positive;Jun 04 2010
Moody's;A1;stable;Dec 08 2008
Fitch;A+;stable;Mar 04 2008
S&P;A;stable;Oct 02 2007
Moody's;A1;positive;Mar 30 2006
S&P;A-;positive;Nov 30 2005
Fitch;A;stable;Aug 26 2005
Fitch;A-;stable;Jun 20 2003
Moody's;A1;stable;Nov 12 2002
Fitch;BBB+;stable;Sep 21 2000
S&P;A-;stable;Nov 05 1998
Fitch;BBB+;n/a;Nov 24 1997
S&P;A;stable;Nov 06 1995
Moody's;Baa1;stable;Sep 18 1995
Fitch;A-;n/a;Aug 10 1995
Moody's;Baa2;positive watch;May 02 1995
S&P;BBB+;positive;Jul 18 1994
Moody's;Baa2;stable;May 25 1994
S&P;BBB;positive;Jul 28 1993
Moody's;Baa3;stable;Mar 10 1993
