Agency;Rating;Outlook;Date
S&P;B+;stable;Jun 25 2018
Moody's;B3;positive;Feb 21 2018
Fitch;B;positive;Feb 16 2018
S&P;B;positive;Jan 19 2018
Fitch;B-;positive;Aug 18 2017
S&P;B-;positive;Jul 22 2017
Moody's;Caa2;positive;Jun 23 2017
TE;10;stable;Apr 16 2016
S&P;B-;stable;Jan 22 2016
DBRS;CCC (high);stable;Dec 11 2015
Moody's;Caa3;stable;Sep 25 2015
Fitch;CCC;n/a;Aug 18 2015
S&P;CCC+;stable;Jul 21 2015
Moody's;Caa3;negative watch;Jul 01 2015
DBRS;CC;under review;Jul 01 2015
Fitch;CCC;negative;Jun 30 2015
Fitch;CC;n/a;Jun 30 2015
S&P;CCC-;negative;Jun 29 2015
S&P;CCC;negative;Jun 10 2015
Moody's;Caa2;negative;Apr 29 2015
S&P;CCC+;negative;Apr 15 2015
Fitch;CCC;n/a;Mar 27 2015
Moody's;Caa1;negative watch;Feb 06 2015
S&P;B-;negative watch;Feb 06 2015
DBRS;B;under review;Feb 04 2015
S&P;B;negative watch;Jan 28 2015
Fitch;B;negative;Jan 16 2015
S&P;B;stable;Dec 12 2014
Moody's;Caa1;stable;Aug 01 2014
DBRS;B;stable;Jul 11 2014
Fitch;B;stable;May 23 2014
Moody's;Caa3;stable;Nov 29 2013
DBRS;CCC (high);negative;Aug 16 2013
Fitch;B-;stable;May 14 2013
S&P;B-;stable;Dec 18 2012
S&P;SD;n/a;Dec 05 2012
S&P;CCC;negative;Aug 07 2012
Fitch;CCC;n/a;May 17 2012
S&P;CCC;stable;May 02 2012
Fitch;B-;stable;Mar 13 2012
Fitch;RD;n/a;Mar 09 2012
Moody's;C;negative;Mar 02 2012
S&P;SD;n/a;Feb 27 2012
Fitch;C;n/a;Feb 22 2012
S&P;CC;negative;Jul 27 2011
Moody's;Ca;negative;Jul 25 2011
Fitch;CCC;n/a;Jul 13 2011
S&P;CCC;negative;Jun 13 2011
Moody's;Caa1;negative;Jun 01 2011
Fitch;B+;negative watch;May 20 2011
Moody's;B1;negative watch;May 09 2011
S&P;B;negative watch;May 09 2011
S&P;BB-;negative watch;Mar 29 2011
Moody's;B1;negative;Mar 07 2011
Fitch;BB+;negative;Jan 14 2011
Fitch;BBB-;negative watch;Dec 21 2010
Moody's;Ba1;negative watch;Dec 16 2010
S&P;BB+;negative watch;Dec 02 2010
Moody's;Ba1;stable;Jun 14 2010
S&P;BB+;negative;Apr 27 2010
Moody's;A3;negative;Apr 22 2010
Moody's;A3;negative watch;Apr 22 2010
Fitch;BBB-;negative;Apr 09 2010
S&P;BBB+;negative;Mar 16 2010
Moody's;A2;negative;Dec 22 2009
S&P;BBB+;negative watch;Dec 16 2009
Fitch;BBB+;negative;Dec 08 2009
S&P;A-;negative watch;Dec 07 2009
Moody's;A1;negative watch;Oct 29 2009
Fitch;A-;negative;Oct 22 2009
Fitch;A;negative;May 12 2009
Moody's;A1;stable;Feb 25 2009
S&P;A-;stable;Jan 14 2009
S&P;A;negative watch;Jan 09 2009
Fitch;A;stable;Oct 20 2008
Fitch;A;positive;Mar 05 2007
Moody's;A1;positive;Jan 11 2007
Fitch;A;stable;Dec 16 2004
S&P;A;stable;Nov 17 2004
Fitch;A+;negative watch;Sep 28 2004
S&P;A+;negative;Sep 13 2004
Fitch;A+;stable;Oct 20 2003
S&P;A+;stable;Jun 10 2003
Moody's;A1;stable;Nov 04 2002
Fitch;A;positive;Oct 23 2002
Fitch;A;stable;Jun 20 2001
S&P;A;positive;Mar 13 2001
Fitch;A-;stable;Sep 21 2000
Fitch;A-;n/a;Jul 27 2000
Fitch;BBB+;positive watch;Mar 13 2000
S&P;A-;positive;Nov 24 1999
Fitch;BBB+;n/a;Oct 25 1999
Fitch;BBB;positive watch;Aug 10 1999
Moody's;A2;positive;Jul 04 1999
Moody's;Baa1;positive;Feb 10 1999
S&P;BBB;positive;Nov 30 1998
