Agency;Rating;Outlook;Date
Fitch;BBB-;positive;Nov 10 2017
S&P;BBB-;positive;Aug 25 2017
Moody's;Baa3;stable;Nov 04 2016
S&P;BBB-;stable;Sep 16 2016
Fitch;BBB-;stable;May 20 2016
Moody's;Ba1;positive;Nov 06 2015
Fitch;BB+;positive;May 22 2015
Fitch;BB+;positive;May 22 2015
S&P;BB+;stable;Mar 20 2015
Moody's;Ba1;stable;Nov 07 2014
S&P;BB;stable;Mar 28 2014
S&P;BB;negative;Mar 21 2013
Fitch;BB+;stable;Dec 20 2012
S&P;BB;stable;Nov 23 2012
Fitch;BB+;negative;Jan 06 2012
S&P;BB+;negative;Dec 21 2011
Moody's;Ba1;negative;Nov 24 2011
S&P;BBB-;negative watch;Nov 11 2011
Fitch;BBB-;negative;Nov 11 2011
Fitch;BBB-;stable;Jun 06 2011
Fitch;BBB-;negative;Dec 23 2010
Moody's;Baa3;negative;Dec 06 2010
Moody's;Baa1;negative watch;Jul 23 2010
S&P;BBB-;negative;Jul 23 2010
S&P;BBB-;stable;Oct 02 2009
Moody's;Baa1;negative;Mar 31 2009
S&P;BBB-;negative;Mar 30 2009
Fitch;BBB;negative;Mar 02 2009
S&P;BBB;negative;Nov 17 2008
Fitch;BBB;stable;Nov 09 2008
Moody's;A3;negative;Nov 07 2008
Fitch;BBB+;negative;Oct 15 2008
S&P;BBB+;negative watch;Oct 15 2008
S&P;BBB+;negative;Mar 14 2008
Fitch;BBB+;stable;Nov 05 2007
Moody's;A2;stable;Dec 22 2006
S&P;BBB+;stable;Dec 21 2006
Moody's;A1;negative watch;Sep 22 2006
Fitch;BBB+;negative;Sep 20 2006
S&P;BBB+;negative;Jun 15 2006
Moody's;A1;negative;Feb 22 2006
S&P;A-;negative;Jan 26 2006
Fitch;BBB+;stable;Dec 06 2005
Fitch;A-;negative;Jul 15 2003
Moody's;A1;stable;Nov 29 2001
S&P;A-;stable;Dec 19 2000
Fitch;A-;stable;Nov 30 2000
Moody's;A3;stable;Nov 14 2000
Fitch;BBB+;positive;Sep 21 2000
Moody's;Baa1;positive watch;Sep 13 2000
Moody's;Baa1;positive;Apr 10 2000
S&P;BBB+;positive;Feb 02 2000
Fitch;BBB+;n/a;Oct 29 1999
Moody's;Baa1;stable;Jun 25 1999
S&P;BBB;positive;Dec 11 1998
Moody's;Baa2;positive;May 08 1998
Moody's;Baa3;positive watch;Mar 20 1998
S&P;BBB-;positive;Jan 22 1998
Moody's;Baa3;positive;Sep 11 1997
Fitch;BBB;n/a;Jun 24 1997
Fitch;BBB-;positive watch;May 23 1997
Moody's;Baa3;stable;Dec 19 1996
S&P;BBB-;stable;Oct 28 1996
Moody's;Ba1;positive watch;Oct 14 1996
Fitch;BBB-;n/a;Apr 25 1996
S&P;BB+;stable;Feb 01 1996
S&P;BB+;negative;Apr 11 1995
S&P;BB+;stable;Apr 15 1994
S&P;BB+;positive;Apr 20 1992
Moody's;Ba1;stable;Jul 18 1990
Moody's;Baa2;stable;Jul 18 1989
