Agency;Rating;Outlook;Date
Fitch;A+;stable;Dec 15 2017
Moody's;A2;stable;Sep 15 2017
Moody's;A3;positive;May 14 2016
Fitch;A;stable;Feb 05 2016
DBRS;A;positive;Sep 11 2015
Fitch;A-;positive;Aug 07 2015
S&P;A+;stable;Jun 05 2015
DBRS;A;stable;Mar 13 2015
S&P;A;stable;Dec 05 2014
DBRS;A (low);positive;Sep 26 2014
Fitch;A-;stable;Aug 15 2014
Fitch;A-;stable;Aug 15 2014
S&P;A-;positive;Jun 06 2014
Moody's;Baa1;stable;May 16 2014
Moody's;Baa3;positive;Jan 17 2014
Moody's;Ba1;stable;Sep 20 2013
S&P;BBB+;positive;Jul 12 2013
Moody's;Ba1;negative;Mar 27 2013
S&P;BBB+;stable;Feb 11 2013
Fitch;BBB+;stable;Nov 14 2012
DBRS;A (low);under review;May 22 2012
S&P;BBB+;negative;Jan 13 2012
Fitch;BBB+;negative watch;Dec 16 2011
S&P;BBB+;negative watch;Dec 05 2011
DBRS;A (low);negative;Aug 17 2011
Moody's;Ba1;negative;Jul 12 2011
Moody's;Baa3;negative;Apr 15 2011
Fitch;BBB+;negative;Apr 14 2011
Fitch;BBB+;negative watch;Apr 01 2011
DBRS;A;negative;Apr 01 2011
S&P;BBB+;stable;Apr 01 2011
S&P;A-;negative watch;Feb 02 2011
Moody's;Baa1;negative;Dec 17 2010
DBRS;AA;negative;Dec 15 2010
Fitch;BBB+;stable;Dec 09 2010
S&P;A;negative watch;Nov 23 2010
Fitch;A+;negative;Oct 06 2010
Moody's;Aa2;negative watch;Oct 05 2010
DBRS;AA;under review;Oct 05 2010
S&P;AA-;negative;Aug 24 2010
DBRS;AA;stable;Jul 21 2010
Moody's;Aa2;stable;Jul 19 2010
Fitch;AA;stable;Nov 04 2009
Moody's;Aa1;negative;Jul 02 2009
S&P;AA;negative;Jun 08 2009
Moody's;Aaa;negative watch;Apr 17 2009
Fitch;AA+;negative;Apr 08 2009
S&P;AA+;negative;Mar 30 2009
Fitch;AAA;negative watch;Mar 06 2009
Moody's;Aaa;negative;Jan 30 2009
S&P;AAA;negative;Jan 09 2009
S&P;AAA;stable;Oct 03 2001
S&P;AA+;positive;Oct 03 2000
Fitch;AAA;stable;Sep 21 2000
Fitch;AAA;n/a;Dec 16 1998
S&P;AA+;stable;May 06 1998
Moody's;Aaa;stable;May 04 1998
Moody's;Aa1;positive watch;Mar 18 1998
Moody's;Aa1;stable;Feb 13 1997
Moody's;Aa2;positive watch;Jan 24 1997
S&P;AA;stable;May 03 1995
Fitch;AA+;n/a;Oct 10 1994
Moody's;Aa2;stable;Aug 31 1994
Moody's;Aa3;positive watch;Jun 24 1994
S&P;AA-;positive;May 10 1994
S&P;AA-;stable;Oct 12 1989
S&P;A+;stable;Jun 26 1989
S&P;A+;n/a;Oct 01 1988
Moody's;Aa3;stable;Jul 15 1987
