Agency;Rating;Outlook;Date
Moody's;Baa2;under review;May 25 2018
S&P;BBB;stable;Oct 27 2017
Fitch;BBB;stable;Apr 21 2017
DBRS;BBB (high);stable;Jan 13 2017
Moody's;Baa2;negative;Dec 07 2016
Fitch;BBB+;negative;Oct 21 2016
TE;60;stable;Apr 16 2016
S&P;BBB-;stable;Dec 05 2014
Fitch;BBB+;stable;Apr 25 2014
Moody's;Baa2;stable;Feb 14 2014
S&P;BBB;negative;Jul 09 2013
Fitch;BBB+;negative;Mar 08 2013
DBRS;A (low);negative;Mar 06 2013
DBRS;A;negative;Aug 08 2012
Moody's;Baa2;negative;Jul 13 2012
DBRS;A (high);under review;May 22 2012
Moody's;A3;negative;Feb 13 2012
Fitch;A-;negative;Jan 27 2012
S&P;BBB+;negative;Jan 13 2012
Fitch;A+;negative watch;Dec 16 2011
S&P;A;negative watch;Dec 05 2011
Fitch;A+;negative;Oct 07 2011
Moody's;A2;negative;Oct 04 2011
S&P;A;negative;Sep 19 2011
Moody's;Aa2;negative watch;Jun 17 2011
S&P;A+;negative;May 20 2011
Fitch;AA-;stable;Oct 19 2006
S&P;A+;stable;Oct 19 2006
Fitch;AA;negative watch;May 25 2006
S&P;AA-;negative;Aug 08 2005
Fitch;AA;negative;Jun 29 2005
S&P;AA-;stable;Jul 07 2004
S&P;AA;negative;Jan 15 2003
Fitch;AA;stable;Jun 17 2002
Moody's;Aa2;stable;May 15 2002
Fitch;AA-;stable;Sep 21 2000
S&P;AA;stable;May 06 1998
Moody's;Aa3;stable;Jul 03 1996
Moody's;A1;stable;May 01 1996
Moody's;A1;positive watch;May 01 1996
Fitch;AA-;n/a;Feb 23 1995
S&P;AA;negative;Feb 03 1995
Fitch;AA;n/a;Aug 10 1994
S&P;AA;stable;Mar 01 1993
Moody's;Aa3;negative watch;Feb 25 1993
Moody's;Aa3;stable;Aug 13 1992
S&P;AA+;negative;May 06 1992
Moody's;Aa1;stable;Jul 01 1991
S&P;AA+;stable;May 30 1991
S&P;AA+;positive;Jun 26 1989
S&P;AA+;n/a;Nov 23 1988
Moody's;Aaa;stable;Oct 10 1986
