Agency;Rating;Outlook;Date
S&P;A;stable;Mar 02 2018
S&P;A-;positive;Sep 01 2017
Moody's;A3;stable;May 08 2015
Moody's;Baa1;positive;Sep 05 2014
Fitch;A-;stable;Jun 25 2014
S&P;A-;stable;Apr 11 2014
S&P;BBB;positive;Oct 25 2013
Fitch;BBB+;stable;Apr 05 2013
Fitch;BBB;stable;Dec 13 2011
Fitch;BBB;positive;May 04 2011
Moody's;Baa1;stable;Mar 31 2010
Fitch;BBB;stable;Mar 08 2010
S&P;BBB;stable;Feb 03 2010
Moody's;Baa1;negative;Sep 28 2009
S&P;BBB;negative;Aug 17 2009
Moody's;A3;negative;Apr 23 2009
Fitch;BBB;negative;Apr 08 2009
S&P;BBB;negative;Mar 24 2009
Moody's;A2;negative watch;Feb 10 2009
Fitch;BBB+;negative;Dec 22 2008
Moody's;A2;negative;Nov 07 2008
S&P;BBB+;negative;Oct 27 2008
Fitch;A-;negative;Oct 03 2008
S&P;A-;negative;Jan 30 2008
Fitch;A;negative;Dec 07 2007
S&P;A;negative;May 23 2007
Fitch;A;stable;Oct 23 2006
Moody's;A2;stable;Sep 12 2006
S&P;A;stable;May 18 2006
Moody's;A3;positive watch;Mar 09 2006
S&P;A;positive;Dec 05 2005
S&P;A-;positive;Feb 01 2005
Fitch;A-;positive;Jul 07 2004
S&P;A-;stable;Feb 05 2004
Fitch;BBB+;positive;Jan 28 2004
Moody's;A3;positive;Dec 11 2003
Fitch;BBB;positive;Nov 04 2003
Moody's;Baa1;positive watch;Aug 19 2003
S&P;BBB+;positive;Jul 29 2003
Moody's;Baa1;positive;Mar 14 2003
S&P;BBB+;stable;Feb 17 2003
Fitch;BBB;stable;Dec 17 2002
Moody's;Baa1;stable;Nov 12 2002
Moody's;Ba1;positive;Apr 23 2002
S&P;BBB;stable;Apr 22 2002
Fitch;BBB-;positive;Feb 28 2002
Fitch;BBB-;stable;May 16 2001
Fitch;BB+;stable;Sep 21 2000
Moody's;Ba1;stable;Dec 16 1997
S&P;BBB-;stable;Jun 09 1997
Fitch;BB+;n/a;Jan 28 1997
Moody's;Ba2;stable;Sep 04 1996
