Agency;Rating;Outlook;Date
Moody's;A3;positive;Feb 23 2018
S&P;A-;positive;Sep 29 2017
DBRS;A;positive;Aug 25 2017
Fitch;A+;stable;Aug 11 2017
S&P;A-;stable;Oct 14 2016
Fitch;A;positive;Aug 19 2016
DBRS;A;stable;Apr 03 2015
Moody's;A3;stable;Oct 04 2013
Fitch;A;stable;Sep 20 2013
S&P;BBB+;stable;Jan 16 2013
Moody's;A3;negative;Feb 13 2012
S&P;A-;negative;Jan 13 2012
S&P;A;negative watch;Dec 05 2011
Moody's;A2;negative;Sep 06 2011
Moody's;A1;stable;Jan 03 2008
Fitch;A+;stable;Jul 12 2007
Moody's;A2;positive;Jul 10 2007
Moody's;A3;positive watch;May 17 2007
Moody's;A3;positive;Mar 09 2006
Fitch;A;positive;Nov 04 2003
Moody's;A3;stable;Jul 15 2003
Fitch;A;stable;Sep 21 2000
S&P;A;stable;May 02 2000
S&P;A;negative;Mar 10 1999
Moody's;A3;negative;Feb 17 1999
S&P;A+;negative;Jun 19 1998
Moody's;A3;stable;Mar 25 1998
Moody's;A2;negative watch;Jan 22 1998
Moody's;A2;negative;Jul 03 1997
Fitch;A;n/a;Jul 20 1996
S&P;A+;stable;May 06 1996
S&P;A;stable;Mar 14 1994
Moody's;A2;stable;Mar 14 1994
