Agency;Rating;Outlook;Date
Fitch;BBB;stable;Dec 15 2017
S&P;BBB-;stable;Sep 15 2017
Moody's;Ba1;positive;Sep 01 2017
Fitch;BB+;positive;Jun 16 2017
TE;44;positive;Apr 16 2016
Fitch;BB+;stable;Mar 04 2016
S&P;BB+;stable;Sep 18 2015
S&P;BB;positive;Mar 20 2015
Moody's;Ba1;stable;Jul 25 2014
S&P;BB;stable;May 09 2014
Moody's;Ba2;positive watch;May 09 2014
Fitch;BB+;positive;Apr 11 2014
Fitch;BB+;stable;Mar 04 2014
S&P;BB;negative;Jan 17 2014
Moody's;Ba3;stable;Nov 08 2013
S&P;BB;negative watch;Sep 18 2013
S&P;BB;negative;Jul 05 2013
S&P;BB;stable;Mar 06 2013
Moody's;Ba3;negative;Feb 13 2012
S&P;BB;negative;Jan 13 2012
S&P;BBB-;negative watch;Dec 05 2011
Fitch;BB+;negative;Nov 24 2011
Fitch;BB+;positive;Nov 21 2011
DBRS;BBB;negative;Oct 19 2011
Moody's;Ba2;negative;Jul 05 2011
Moody's;Baa1;negative watch;Apr 05 2011
Fitch;BBB-;negative watch;Apr 01 2011
S&P;BBB-;negative;Mar 29 2011
S&P;BBB;negative watch;Mar 24 2011
Fitch;A-;negative watch;Mar 24 2011
Moody's;A3;negative;Mar 15 2011
Fitch;A+;negative;Dec 23 2010
Moody's;A1;negative watch;Dec 21 2010
S&P;A-;negative watch;Nov 30 2010
DBRS;A (low);negative;Nov 10 2010
Moody's;A1;stable;Jul 13 2010
Moody's;Aa2;negative watch;May 05 2010
S&P;A-;negative;Apr 27 2010
Fitch;AA-;negative;Mar 24 2010
S&P;A+;negative;Dec 07 2009
Moody's;Aa2;negative;Oct 29 2009
Fitch;AA;negative;Sep 03 2009
S&P;A+;stable;Jan 21 2009
S&P;AA-;negative watch;Jan 13 2009
Fitch;AA;stable;May 01 2007
Fitch;AA;negative;Jun 29 2005
S&P;AA-;stable;Jun 27 2005
S&P;AA;negative;Oct 29 2004
Fitch;AA;stable;Sep 21 2000
S&P;AA;stable;Dec 15 1998
Fitch;AA;n/a;Jun 04 1998
Moody's;Aa2;stable;May 04 1998
S&P;AA-;positive;Oct 06 1997
Moody's;Aa3;stable;Feb 10 1997
Fitch;AA-;n/a;Aug 10 1994
S&P;AA-;stable;May 26 1993
S&P;A+;stable;Oct 25 1991
S&P;A;stable;Oct 26 1989
S&P;A;positive;Jun 26 1989
S&P;A;n/a;Oct 01 1988
Moody's;A1;stable;Nov 18 1986
