Agency;Rating;Outlook;Date
Moody's;A2;positive;Apr 07 2017
S&P;A+;stable;Jul 31 2015
S&P;A;positive;Aug 01 2014
Moody's;A2;stable;Oct 04 2013
Moody's;A2;negative;Feb 13 2012
S&P;A;stable;Jan 13 2012
S&P;A+;negative watch;Dec 05 2011
S&P;A+;positive;Aug 24 2011
Moody's;A1;stable;Mar 27 2009
S&P;A+;stable;Nov 27 2008
Moody's;A1;positive;Jul 31 2008
Fitch;A+;stable;Jul 08 2008
Fitch;A;negative watch;May 07 2008
S&P;A;positive;Mar 03 2008
Fitch;A;positive;Jul 23 2007
Moody's;A1;stable;Oct 17 2006
Moody's;A2;positive watch;Mar 09 2006
S&P;A;stable;Dec 19 2005
Fitch;A;stable;Oct 11 2005
Moody's;A2;positive;Jan 12 2005
S&P;A-;positive;Dec 13 2004
Moody's;A3;positive watch;Oct 06 2004
Fitch;A-;stable;Sep 21 2004
Moody's;A3;positive;Jun 18 2004
S&P;BBB+;positive;Mar 02 2004
Fitch;BBB+;positive;Jan 22 2004
Fitch;BBB;positive;Nov 04 2003
Fitch;BBB;stable;Mar 03 2003
S&P;BBB;positive;Dec 19 2002
Moody's;A3;stable;Nov 12 2002
Fitch;BBB-;positive;Nov 01 2002
Moody's;Baa3;stable;Nov 13 2001
S&P;BBB-;positive;Oct 30 2001
Fitch;BB+;positive;Feb 20 2001
Moody's;Ba1;positive;Nov 30 2000
S&P;BB+;positive;Nov 09 2000
Fitch;BB+;stable;Sep 21 2000
S&P;BB+;stable;Nov 12 1999
Moody's;Ba1;stable;Oct 27 1999
Fitch;BB+;n/a;Dec 22 1998
Fitch;BBB-;negative watch;Oct 05 1998
Moody's;Ba1;negative watch;Oct 01 1998
S&P;BB+;negative;Sep 17 1998
S&P;BBB-;negative;Apr 06 1998
Moody's;Ba1;stable;Mar 30 1998
Moody's;Baa3;negative watch;Jan 20 1998
Fitch;BBB-;n/a;Aug 08 1996
S&P;BBB-;stable;Apr 11 1996
Moody's;Baa3;stable;May 15 1995
S&P;BB+;stable;Apr 05 1995
S&P;BB-;stable;Feb 15 1994
