Agency;Rating;Outlook;Date
S&P;A+;positive;Jun 15 2018
Moody's;Baa1;stable;Sep 08 2017
S&P;A+;stable;Jun 16 2017
S&P;A;positive;Dec 16 2016
Fitch;A-;stable;Sep 23 2016
Moody's;Baa3;positive;Sep 16 2016
S&P;A;stable;Jun 17 2016
Fitch;BBB+;positive;Sep 25 2015
S&P;A-;positive;Jun 19 2015
Moody's;Baa3;stable;Jan 23 2015
S&P;A-;stable;Dec 19 2014
S&P;A-;negative;Jun 27 2014
Fitch;BBB+;stable;May 02 2014
Moody's;Ba1;stable;Jan 24 2014
Fitch;BBB+;negative;May 17 2013
Moody's;Ba1;negative;Apr 30 2013
S&P;A-;stable;Feb 12 2013
S&P;A;negative watch;Nov 06 2012
Fitch;A-;negative;Aug 08 2012
S&P;A;negative;Aug 03 2012
Moody's;Baa2;negative;Aug 02 2012
Moody's;A2;negative;Feb 13 2012
Fitch;A;negative;Jan 27 2012
S&P;A+;negative;Jan 13 2012
Moody's;A1;negative;Dec 22 2011
Fitch;AA-;negative watch;Dec 16 2011
S&P;AA-;negative watch;Dec 05 2011
S&P;AA-;stable;Oct 19 2011
Fitch;AA-;negative;Sep 28 2011
Moody's;Aa3;negative watch;Sep 23 2011
S&P;AA;negative;Dec 22 2010
Moody's;Aa2;stable;Mar 31 2009
Moody's;Aa2;positive;Jul 26 2006
Fitch;AA;stable;Jul 12 2006
Moody's;Aa3;positive watch;Jun 07 2006
S&P;AA;stable;May 16 2006
Moody's;Aa3;positive;Mar 09 2006
Fitch;AA-;positive;Jul 07 2004
S&P;AA-;stable;May 13 2004
Fitch;A+;positive;Nov 04 2003
Fitch;A+;stable;May 06 2003
S&P;A+;positive;Mar 26 2003
Moody's;Aa3;stable;Nov 12 2002
S&P;A;positive;Oct 23 2002
Moody's;A2;positive;Aug 14 2002
Fitch;A;positive;May 29 2002
Moody's;A2;stable;Nov 14 2000
Fitch;A;stable;Sep 21 2000
Moody's;A3;positive watch;Sep 13 2000
Fitch;A;n/a;Dec 15 1999
Moody's;A3;positive;Sep 15 1999
Fitch;A-;n/a;May 09 1996
S&P;A;stable;May 08 1996
Moody's;A3;stable;May 08 1996
