Agency;Rating;Outlook;Date
Moody's;Baa1;stable;Apr 13 2018
DBRS;A;stable;Apr 06 2018
S&P;A-;positive;Mar 23 2018
Fitch;A-;stable;Jan 19 2018
Fitch;BBB+;positive;Jul 21 2017
S&P;BBB+;positive;Mar 31 2017
DBRS;A (low);positive;Oct 09 2015
S&P;BBB+;stable;Oct 02 2015
S&P;BBB;stable;May 23 2014
Fitch;BBB+;stable;Apr 25 2014
Moody's;Baa2;positive;Feb 21 2014
Moody's;Baa3;stable;Dec 04 2013
S&P;BBB-;stable;Nov 29 2013
Fitch;BBB;stable;Nov 01 2013
Moody's;Baa3;negative;Oct 16 2012
S&P;BBB-;negative;Oct 10 2012
Moody's;Baa3;negative watch;Jun 13 2012
Fitch;BBB;negative;Jun 07 2012
S&P;BBB+;negative;Apr 26 2012
Moody's;A3;negative;Feb 13 2012
Fitch;A;negative;Jan 27 2012
S&P;A;negative;Jan 13 2012
Fitch;AA-;negative watch;Dec 16 2011
S&P;AA-;negative watch;Dec 05 2011
Moody's;A1;negative;Oct 18 2011
S&P;AA-;negative;Oct 13 2011
Fitch;AA-;negative;Oct 07 2011
DBRS;AA;negative;Aug 17 2011
Moody's;Aa2;negative watch;Jul 29 2011
Moody's;Aa2;negative;Mar 10 2011
Fitch;AA+;negative;Mar 04 2011
Moody's;Aa1;negative watch;Dec 15 2010
Moody's;Aa1;stable;Sep 30 2010
Moody's;Aaa;negative watch;Jun 30 2010
Fitch;AA+;stable;May 28 2010
S&P;AA;negative;Apr 28 2010
S&P;AA+;negative;Dec 09 2009
S&P;AA+;stable;Jan 19 2009
S&P;AAA;negative watch;Jan 12 2009
S&P;AAA;stable;Dec 13 2004
Fitch;AAA;stable;Dec 10 2003
S&P;AA+;positive;Jul 30 2003
Moody's;Aaa;stable;Dec 13 2001
Moody's;Aa2;positive watch;Sep 19 2001
Fitch;AA+;stable;Sep 21 2000
Fitch;AA+;n/a;Sep 01 1999
S&P;AA+;stable;Mar 31 1999
S&P;AA;positive;May 06 1998
S&P;AA;stable;Feb 06 1996
Fitch;AA;n/a;Aug 10 1994
S&P;AA;positive;Jun 26 1989
S&P;AA;n/a;Aug 01 1988
Moody's;Aa2;stable;Feb 03 1988
